#;Заказной код;Размер;Параметр:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CTA;1;Hy-Lok 1/16;Наружный диаметр трубы;-;S316;Нержавеющая сталь
;;2;Hy-Lok 1/8;Наружный диаметр трубы;BRAS;BRAS;Латунь
;;3;Hy-Lok 3/16;Наружный диаметр трубы;STEL;STEL;Углеродистая сталь
;;4;Hy-Lok 1/4;Наружный диаметр трубы;;;
;;5;Hy-Lok 5/16;Наружный диаметр трубы;;;
;;6;Hy-Lok 3/8;Наружный диаметр трубы;;;
;;8;Hy-Lok 1/2;Наружный диаметр трубы;;;
;;10;Hy-Lok 5/8;Наружный диаметр трубы;;;
;;12;Hy-Lok 3/4;Наружный диаметр трубы;;;
;;14;Hy-Lok 7/8;Наружный диаметр трубы;;;
;;16;Hy-Lok 1;Наружный диаметр трубы;;;
;;20;Hy-Lok 1 1/4;Наружный диаметр трубы;;;
;;24;Hy-Lok 1 1/2;Наружный диаметр трубы;;;
;;32;Hy-Lok 2;Наружный диаметр трубы;;;
