#,Заказной код,Наруж. диаметр трубы (D),Материал,Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D),Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D1),Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CUR,3M-2M,-,Hy-Lok 3mm,Hy-Lok 2mm,S316,Нержавеющая сталь
,,4M-3M,BRAS,Hy-Lok 4mm,Hy-Lok 3mm,BRAS,Латунь
,,6M-3M,STEL,Hy-Lok 6mm,Hy-Lok 3mm,STEL,Углеродистая сталь
,,6M-4M,,Hy-Lok 6mm,Hy-Lok 4mm,,
,,8M-3M,,Hy-Lok 8mm,Hy-Lok 3mm,,
,,8M-6M,,Hy-Lok 8mm,Hy-Lok 6mm,,
,,10M-3M,,Hy-Lok 10mm,Hy-Lok 3m,,
,,10M-6M,,Hy-Lok 10mm,Hy-Lok 6m,,
,,10M-8M,,Hy-Lok 10mm,Hy-Lok 8m,,
,,12M-3M,,Hy-Lok 12mm,Hy-Lok 3m,,
,,12M-6M,,Hy-Lok 12mm,Hy-Lok 6m,,
,,12M-8M,,Hy-Lok 12mm,Hy-Lok 8m,,
,,12M-10M,,Hy-Lok 12mm,Hy-Lok 10m,,
,,14M-6M,,Hy-Lok 14mm,Hy-Lok 6m,,
,,14M-8M,,Hy-Lok 14mm,Hy-Lok 8m,,
,,14M-10M,,Hy-Lok 14mm,Hy-Lok 10m,,
,,14M-12M,,Hy-Lok 14mm,Hy-Lok 12m,,
,,15M-14M,,Hy-Lok 15mm,Hy-Lok 14m,,
,,16M-6M,,Hy-Lok 16mm,Hy-Lok 6m,,
,,16M-10M,,Hy-Lok 16mm,Hy-Lok 10m,,
,,16M-12M,,Hy-Lok 16mm,Hy-Lok 12m,,
,,18M-12M,,Hy-Lok 18mm,Hy-Lok 12m,,
,,18M-14M,,Hy-Lok 18mm,Hy-Lok 14m,,
,,18M-16M,,Hy-Lok 18mm,Hy-Lok 16m,,
,,20M-3M,,Hy-Lok 20mm,Hy-Lok 3m,,
,,20M-10M,,Hy-Lok 20mm,Hy-Lok 10m,,
,,20M-12M,,Hy-Lok 20mm,Hy-Lok 12m,,
,,20M-16M,,Hy-Lok 20mm,Hy-Lok 16m,,
,,22M-10M,,Hy-Lok 22mm,Hy-Lok 10m,,
,,22M-12M,,Hy-Lok 22mm,Hy-Lok 12m,,
,,22M-18M,,Hy-Lok 22mm,Hy-Lok 18m,,
,,22M-20M,,Hy-Lok 22mm,Hy-Lok 20m,,
,,25M-8M,,Hy-Lok 25mm,Hy-Lok 8m,,
,,25M-10M,,Hy-Lok 25mm,Hy-Lok 10m,,
,,25M-12M,,Hy-Lok 25mm,Hy-Lok 12m,,
,,25M-16M,,Hy-Lok 25mm,Hy-Lok 16m,,
,,25M-18M,,Hy-Lok 25mm,Hy-Lok 18m,,
,,25M-20M,,Hy-Lok 25mm,Hy-Lok 20m,,
,,25M-22M,,Hy-Lok 25mm,Hy-Lok 22m,,
,,32M-20M,,Hy-Lok 32mm,Hy-Lok 20m,,
,,32M-25M,,Hy-Lok 32mm,Hy-Lok 25m,,
,,38M-25M,,Hy-Lok 38mm,Hy-Lok 25m,,
,,50M-32M,,Hy-Lok 50mm,Hy-Lok 32m,,
,,50M-38M,,Hy-Lok 50mm,Hy-Lok 38m,,
