#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:Под приварку,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CWC,2-2P,"Hy-Lok 1/8""","1/8""",-,S316,Нержавеющая сталь
,,3-2P,"Hy-Lok 3/16""","1/8""",BRAS,BRAS,Латунь
,,4-2P,"Hy-Lok 1/4""","1/8""",STEL,STEL,Углеродистая сталь
,,4-4P,"Hy-Lok 1/4""","1/4""",,,
,,5-2P,"Hy-Lok 5/16""","1/8""",,,
,,5-4P,"Hy-Lok 5/16""","1/4""",,,
,,6-4P,"Hy-Lok 3/8""","1/4""",,,
,,6-6P,"Hy-Lok 3/8""","3/8""",,,
,,6-8P,"Hy-Lok 3/8""","1/2""",,,
,,8-6P,"Hy-Lok 1/2""","3/8""",,,
,,8-8P,"Hy-Lok 1/2""","1/2""",,,
,,8-12P,"Hy-Lok 1/2""","3/4""",,,
,,10-8P,"Hy-Lok 5/8""","1/2""",,,
,,12-12P,"Hy-Lok 3/4""","3/4""",,,
,,16-16P,"Hy-Lok 1""","1""",,,
,,20-20P,"Hy-Lok 1 1/4""","1 1/4""",,,
,,24-24P,"Hy-Lok 1 1/2""","1 1/2""",,,
,,32-32P,"Hy-Lok 2""","2""",,,
