#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DMC,06L-M10,DIN 6mm,M10x1,-,S316,Нержавеющая сталь (316-я)
,,08L-M12,DIN 8mm,M12x1.5,STEL,STEL,Углеродистая сталь
,,10L-M14,DIN 10mm,M14x1.5,BRAS,BRAS,Латунь
,,10L-M16,DIN 10mm,M16x1.5,,,
,,10L-M18,DIN 10mm,M18x1.5,,,
,,10L-M22,DIN 10mm,M22x1.5,,,
,,12L-M16,DIN 12mm,M16x1.5,,,
,,12L-M18,DIN 12mm,M18x1.5,,,
,,12L-M22,DIN 12mm,M22x1.5,,,
,,15L-M18,DIN 15mm,M18x1.5,,,
,,15L-M22,DIN 15mm,M22x1.5,,,
,,18L-M22,DIN 18mm,M22x1.5,,,
,,18L-M18,DIN 18mm,M18x1.5,,,
,,22L-M26,DIN 22mm,M26x1.5,,,
,,28L-M33,DIN 28mm,M33x2,,,
,,35L-M42,DIN 35mm,M42x2,,,
,,42L-M48,DIN 42mm,M48x2,,,
