#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-MFAD,3ED-1G,"BSPP 3/16""","BSPP 1/16""",-,S316,Нержавеющая сталь
,,4ED-1G,"BSPP 1/4""","BSPP 1/16""",BRAS,BRAS,Латунь
,,4ED-2G,"BSPP 1/4""","BSPP 1/8""",STEL,STEL,Углеродистая сталь
,,6ED-2G,"BSPP 3/8""","BSPP 1/8""",,,
,,6ED-3G,"BSPP 3/8""","BSPP 3/16""",,,
,,8ED-2G,"BSPP 1/2""","BSPP 1/8""",,,
,,8ED-3G,"BSPP 1/2""","BSPP 3/16""",,,
,,8ED-4G,"BSPP 1/2""","BSPP 1/4""",,,
,,10ED-4G,"BSPP 5/8""","BSPP 1/4""",,,
,,10ED-6G,"BSPP 5/8""","BSPP 3/8""",,,
,,12ED-4G,"BSPP 3/4""","BSPP 1/4""",,,
,,12ED-6G,"BSPP 3/4""","BSPP 3/8""",,,
,,12ED-8G,"BSPP 3/4""","BSPP 1/2""",,,
