#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-MFAD,3-1G,"BSPP 3/16""","BSPP 1/16""",-,S316,Нержавеющая сталь
,,4-1G,"BSPP 1/4""","BSPP 1/16""",BRAS,BRAS,Латунь
,,4-2G,"BSPP 1/4""","BSPP 1/8""",STEL,STEL,Углеродистая сталь
,,6-2G,"BSPP 3/8""","BSPP 1/8""",,,
,,6-3G,"BSPP 3/8""","BSPP 3/16""",,,
,,8-2G,"BSPP 1/2""","BSPP 1/8""",,,
,,8-3G,"BSPP 1/2""","BSPP 3/16""",,,
,,8-4G,"BSPP 1/2""","BSPP 1/4""",,,
,,10-4G,"BSPP 5/8""","BSPP 1/4""",,,
,,10-6G,"BSPP 5/8""","BSPP 3/8""",,,
,,12-4G,"BSPP 3/4""","BSPP 1/4""",,,
,,12-6G,"BSPP 3/4""","BSPP 3/8""",,,
,,12-8G,"BSPP 3/4""","BSPP 1/2""",,,
