#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-MT,6-4-B,"патрубок 3/8""","1/4""",нерж.сталь SM6L
,,8-4-B,"патрубок 1/2""","1/4""",нерж.сталь SM6L
,,8-6-B,"патрубок 1/2""","3/8""",нерж.сталь SM6L
,,12-6-B,"патрубок 3/4""","3/8""",нерж.сталь SM6L
,,12-4-B,"патрубок 3/4""","1/4""",нерж.сталь SM6L
,,8M-6M-B,патрубок 8mm,6mm,нерж.сталь SM6L
,,10M-6M-B,патрубок 10mm,6mm,нерж.сталь SM6L
,,10M-8M-B,патрубок 10mm,8mm,нерж.сталь SM6L
,,12M-6M-B,патрубок 12mm,6mm,нерж.сталь SM6L
,,12M-8M-B,патрубок 12mm,8mm,нерж.сталь SM6L
