#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SNL,"2N-1.5""","NPT 1/8""",-,S316,Нержавеющая сталь
,,"2N-2.0""","NPT 1/8""",STEL,STEL,Углеродистая сталь
,,"2N-2.5""","NPT 1/8""",BRAS,BRAS,Латунь
,,"2N-3.0""","NPT 1/8""",,,
,,"4N-1.5""","NPT 1/4""",,,
,,"4N-2.0""","NPT 1/4""",,,
,,"4N-2.5""","NPT 1/4""",,,
,,"4N-3.0""","NPT 1/4""",,,
,,"4N-4.0""","NPT 1/4""",,,
,,"4N-6.0""","NPT 1/4""",,,
,,"6N-2.0""","NPT 3/8""",,,
,,"6N-3.0""","NPT 3/8""",,,
,,"8N-2.0""","NPT 1/2""",,,
,,"8N-3.0""","NPT 1/2""",,,
,,"8N-4.0""","NPT 1/2""",,,
,,"8N-6.0""","NPT 1/2""",,,
,,"12N-3.0""","NPT 3/4""",,,
,,"16N-3.0""","NPT 1""",,,
