#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2,Параметр:Заказной код:Аналог продукции,Параметр:Заказной код:Материал
,TH06LROMD71,DIN 6mm,"BSPP 1/8""",DTH-06L-01G,S316
,TH08LROMD71,DIN 8mm,"BSPP 1/4""",DTH-08L-02G,S316
,TH10LROMD71,DIN 10mm,"BSPP 1/4""",DTH-10L-02G,S316
,TH12LROMD71,DIN 12mm,"BSPP 3/8""",DTH-12L-03G,S316
,TH15LROMD71,DIN 15mm,"BSPP 1/2""",DTH-15L-04G,S316
,TH18LROMD71,DIN 18mm,"BSPP 1/2""",DTH-18L-04G,S316
,TH22LROMD71,DIN 22mm,"BSPP 3/4""",DTH-22L-06G,S316
,TH28LROMD71,DIN 28mm,"BSPP 1""",DTH-28L-08G,S316
,TH35LROMD71,DIN 35mm,"BSPP 1 1/4""",DTH-35L-10G,S316
,TH42LROMD71,DIN 42mm,"BSPP 1 1/2""",DTH-42L-12G,S316
,TH06LROMDCF,DIN 6mm,"BSPP 1/8""",DTH-06L-01G-STEL,STEL
,TH08LROMDCF,DIN 8mm,"BSPP 1/4""",DTH-08L-02G-STEL,STEL
,TH10LROMDCF,DIN 10mm,"BSPP 1/4""",DTH-10L-02G-STEL,STEL
,TH12LROMDCF,DIN 12mm,"BSPP 3/8""",DTH-12L-03G-STEL,STEL
,TH15LROMDCF,DIN 6mm,"BSPP 1/2""",DTH-15L-04G-STEL,STEL
,TH18LROMDCF,DIN 8mm,"BSPP 1/2""",DTH-18L-04G-STEL,STEL
,TH22LROMDCF,DIN 10mm,"BSPP 3/4""",DTH-22L-06G-STEL,STEL
,TH28LROMDCF,DIN 12mm,"BSPP 1""",DTH-28L-08G-STEL,STEL
,TH35LROMDCF,DIN 6mm,"BSPP 1 1/4""",DTH-35L-10G-STEL,STEL
,TH42LROMDCF,DIN 8mm,"BSPP 1 1/2""",DTH-42L-12G-STEL,STEL
,TH06LROMDMS,DIN 20mm,"BSPP 1/8""",DTH-06L-01G-BRAS,BRAS
,TH08LROMDMS,DIN 25mm,"BSPP 1/4""",DTH-08L-02G-BRAS,BRAS
,TH10LROMDMS,DIN 30mm,"BSPP 1/4""",DTH-10L-02G-BRAS,BRAS
,TH12LROMDMS,DIN 38mm,"BSPP 3/8""",DTH-12L-03G-BRAS,BRAS
,TH15LROMDMS,DIN 6mm,"BSPP 1/2""",DTH-15L-04G-BRAS,BRAS
,TH18LROMDMS,DIN 8mm,"BSPP 1/2""",DTH-18L-04G-BRAS,BRAS
,TH22LROMDMS,DIN 10mm,"BSPP 3/4""",DTH-22L-06G-BRAS,BRAS
,TH28LROMDMS,DIN 12mm,"BSPP 1""",DTH-28L-08G-BRAS,BRAS
,TH35LROMDMS,DIN 15mm,"BSPP 1 1/4""",DTH-35L-10G-BRAS,BRAS
,TH42LROMDMS,DIN 18mm,"BSPP 1 1/2""",DTH-42L-12G-BRAS,BRAS
,TH06SROMD71,DIN 6mm,"BSPP 1/4""",DTH-06S-02G,S316
,TH08SROMD71,DIN 8mm,"BSPP 1/4""",DTH-08S-02G,S316
,TH10SROMD71,DIN 10mm,"BSPP 3/8""",DTH-10S-03G,S316
,TH12SROMD71,DIN 12mm,"BSPP 3/8""",DTH-12S-03G,S316
,TH16SROMD71,DIN 16mm,"BSPP 1/2""",DTH-16S-04G,S316
,TH20SROMD71,DIN 20mm,"BSPP 3/4""",DTH-20S-06G,S316
,TH25SROMD71,DIN 25mm,"BSPP 1""",DTH-25S-08G,S316
,TH30SROMD71,DIN 30mm,"BSPP 1 1/4""",DTH-30S-10G,S316
,TH38SROMD71,DIN 38mm,"BSPP 1 1/2""",DTH-38S-12G,S316
,TH06SROMDCF,DIN 10mm,"BSPP 1/4""",DTH-06S-02G-STEL,STEL
,TH08SROMDCF,DIN 12mm,"BSPP 1/4""",DTH-08S-02G-STEL,STEL
,TH10SROMDCF,DIN 6mm,"BSPP 3/8""",DTH-10S-03G-STEL,STEL
,TH12SROMDCF,DIN 8mm,"BSPP 3/8""",DTH-12S-03G-STEL,STEL
,TH16SROMDCF,DIN 10mm,"BSPP 1/2""",DTH-16S-04G-STEL,STEL
,TH20SROMDCF,DIN 12mm,"BSPP 3/4""",DTH-20S-06G-STEL,STEL
,TH25SROMDCF,DIN 6mm,"BSPP 1""",DTH-25S-08G-STEL,STEL
,TH30SROMDCF,DIN 8mm,"BSPP 1 1/4""",DTH-30S-10G-STEL,STEL
,TH38SROMDCF,DIN 10mm,"BSPP 1 1/2""",DTH-38S-12G-STEL,STEL
,TH06SROMDMS,DIN 22mm,"BSPP 1/4""",DTH-06S-02G-BRAS,BRAS
,TH08SROMDMS,DIN 28mm,"BSPP 1/4""",DTH-08S-02G-BRAS,BRAS
,TH10SROMDMS,DIN 35mm,"BSPP 3/8""",DTH-10S-03G-BRAS,BRAS
,TH12SROMDMS,DIN 42mm,"BSPP 3/8""",DTH-12S-03G-BRAS,BRAS
,TH16SROMDMS,DIN 6mm,"BSPP 1/2""",DTH-16S-04G-BRAS,BRAS
,TH20SROMDMS,DIN 8mm,"BSPP 3/4""",DTH-20S-06G-BRAS,BRAS
,TH25SROMDMS,DIN 10mm,"BSPP 1""",DTH-25S-08G-BRAS,BRAS
,TH30SROMDMS,DIN 12mm,"BSPP 1 1/4""",DTH-30S-10G-BRAS,BRAS
,TH38SROMDMS,DIN 14mm,"BSPP 1 1/2""",DTH-38S-12G-BRAS,BRAS
,TH06LMOMD71,DIN 6mm,M10x1.5,DTH-06L-M10,S316
,TH08LMOMD71,DIN 8mm,M12x1.5,DTH-08L-M12,S316
,TH10LMOMD71,DIN 10mm,M14x1.5,DTH-10L-M14,S316
,TH12LMOMD71,DIN 12mm,M16x1.5,DTH-12L-M16,S316
,TH15LMOMD71,DIN 15mm,M18x1.5,DTH-15L-M18,S316
,TH18LMOMD71,DIN 18mm,M22x1.5,DTH-18L-M22,S316
,TH22LMOMD71,DIN 22mm,M26x1.5,DTH-22L-M26,S316
,TH28LMOMD71,DIN 28mm,M33x2,DTH-28L-M33,S316
,TH35LMOMD71,DIN 35mm,M42x2,DTH-35L-M42,S316
,TH42LMOMD71,DIN 42mm,M48x2,DTH-42L-M48,S316
,TH06LMOMDCF,DIN 12mm,M10x1.5,DTH-06L-M10-STEL,STEL
,TH08LMOMDCF,DIN 6mm,M12x1.5,DTH-08L-M12-STEL,STEL
,TH10LMOMDCF,DIN 8mm,M14x1.5,DTH-10L-M14-STEL,STEL
,TH12LMOMDCF,DIN 10mm,M16x1.5,DTH-12L-M16-STEL,STEL
,TH15LMOMDCF,DIN 12mm,M18x1.5,DTH-15L-M18-STEL,STEL
,TH18LMOMDCF,DIN 15mm,M22x1.5,DTH-18L-M22-STEL,STEL
,TH22LMOMDCF,DIN 18mm,M26x1.5,DTH-22L-M26-STEL,STEL
,TH28LMOMDCF,DIN 22mm,M33x2,DTH-28L-M33-STEL,STEL
,TH35LMOMDCF,DIN 28mm,M42x2,DTH-35L-M42-STEL,STEL
,TH42LMOMDCF,DIN 35mm,M48x2,DTH-42L-M48-STEL,STEL
,TH06LMOMDMS,DIN 16mm,M10x1.5,DTH-06L-M10-BRAS,BRAS
,TH08LMOMDMS,DIN 20mm,M12x1.5,DTH-08L-M12-BRAS,BRAS
,TH10LMOMDMS,DIN 25mm,M14x1.5,DTH-10L-M14-BRAS,BRAS
,TH12LMOMDMS,DIN 30mm,M16x1.5,DTH-12L-M16-BRAS,BRAS
,TH15LMOMDMS,DIN 38mm,M18x1.5,DTH-15L-M18-BRAS,BRAS
,TH18LMOMDMS,DIN 6mm,M22x1.5,DTH-18L-M22-BRAS,BRAS
,TH22LMOMDMS,DIN 8mm,M26x1.5,DTH-22L-M26-BRAS,BRAS
