"code","value","count","currency"
"HB1-H-3M","112.15",0,"$"
"HB1-H-3M-P","112.15",0,"$"
"HB1-H-3M-PK","121.9",0,"$"
"HB1-H-6M","101.3",0,"$"
"HB1-H-6M-P","103.81",0,"$"
"HB1-H-6M-PK","121.56",0,"$"
"HB2-H-8M","110.28",0,"$"
"HB2-H-8M-P","111.18",0,"$"
"HB2-H-8M-PK","120.92",0,"$"
"HB2-H-10M","111.18",0,"$"
"HB2-H-10M-P","111.18",0,"$"
"HB2-H-10M-PK","120.92",0,"$"
"HB3-H-12M","252.7",0,"$"
"HB3-H-12M-P","0.0",0,"$"
"HB3-H-12M-PK","239.48",0,"$"
"HB1-H-2T","112.15",0,"$"
"HB1-H-2T-P","0.0",0,"$"
"HB1-H-2T-PK","134.08",0,"$"
"HB1-H-4T","101.33",0,"$"
"HB1-H-4T-P","103.81",0,"$"
"HB1-H-4T-PK","103.81",0,"$"
"HB2-H-6T","111.19",0,"$"
"HB2-H-6T-P","111.18",0,"$"
"HB2-H-6T-PK","0.0",0,"$"
"HB3-H-8T","229.72",0,"$"
"HB3-H-8T-P","0.0",0,"$"
"HB3-H-8T-PK","0.0",0,"$"
"HB1-F-2N","120.92",0,"$"
"HB1-F-2N-P","130.66",0,"$"
"HB1-F-2N-PK","130.66",0,"$"
"HB2-F-4N","95.51",0,"$"
"HB2-F-4N-P","95.46",0,"$"
"HB2-F-4N-PK","95.46",0,"$"
"HB3-F-6N","165.84",0,"$"
"HB3-F-6N-P","165.87",0,"$"
"HB3-F-6N-PK","0.0",0,"$"
"HB3-F-8N","215.56",0,"$"
"HB3-F-8N-P","215.54",0,"$"
"HB3-F-8N-PK","237.11",0,"$"
"HB1-M-4N","101.07",0,"$"
"HB1-M-4N-P","0.0",0,"$"
"HB1-M-4N-PK","0.0",0,"$"
"HB2-M-6N","105.63",0,"$"
"HB2-M-6N-P","0.0",0,"$"
"HB2-M-6N-PK","0.0",0,"$"
"HB3-M-8N","215.56",0,"$"
"HB3-M-8N-P","0.0",0,"$"
"HB3-M-8N-PK","257.29",0,"$"
"HB2-F-4R","95.46",0,"$"
"HB2-F-4R-P","0.0",0,"$"
"HB2-F-4R-PK","0.0",0,"$"
"HB3-F-6R","0.0",0,"$"
"HB3-F-6R-P","0.0",0,"$"
"HB3-F-6R-PK","0.0",0,"$"
"HB3-F-8R","0.0",0,"$"
"HB3-F-8R-P","0.0",0,"$"
"HB3-F-8R-PK","0.0",0,"$"
"HB1-M-4R","0.0",0,"$"
"HB1-M-4R-P","0.0",0,"$"
"HB1-M-4R-PK","0.0",0,"$"
"HB2-M-6R","0.0",0,"$"
"HB2-M-6R-P","0.0",0,"$"
"HB2-M-6R-PK","0.0",0,"$"
"HB3-M-8R","0.0",0,"$"
"HB3-M-8R-P","0.0",0,"$"
"HB3-M-8R-PK","0.0",0,"$"
"HB1-B3-H-3M","167.54",0,"$"
"HB1-B3-H-3M-P","177.28",0,"$"
"HB1-B3-H-3M-PK","177.28",0,"$"
"HB1-B3-H-6M","147.08",0,"$"
"HB1-B3-H-6M-P","147.08",0,"$"
"HB1-B3-H-6M-PK","185.9",0,"$"
"HB2-B3-H-10M","177.69",0,"$"
"HB2-B3-H-10M-P","177.69",0,"$"
"HB2-B3-H-10M-PK","0.0",0,"$"
"HB1-B3-H-4T","147.12",0,"$"
"HB1-B3-H-4T-P","156.82",0,"$"
"HB1-B3-H-4T-PK","0.0",0,"$"
"HB2-B3-H-6T","177.73",0,"$"
"HB2-B3-H-6T-P","0.0",0,"$"
"HB2-B3-H-6T-PK","0.0",0,"$"
"HB3-B3-H-8T","276.4",0,"$"
"HB3-B3-H-8T-P","0.0",0,"$"
"HB3-B3-H-8T-PK","0.0",0,"$"
"HB2-B3-F-4N","120.55",0,"$"
"HB2-B3-F-4N-P","130.24",0,"$"
"HB2-B3-F-4N-PK","130.24",0,"$"
"HB3-B3-F-6N","189.62",0,"$"
"HB3-B3-F-6N-P","0.0",0,"$"
"HB3-B3-F-6N-PK","0.0",0,"$"
"HB3-B3-F-8N","257.3",0,"$"
"HB3-B3-F-8N-P","0.0",0,"$"
"HB3-B3-F-8N-PK","0.0",0,"$"
"HB1-B3-M-4N","154.33",0,"$"
"HB1-B3-M-4N-P","0.0",0,"$"
"HB1-B3-M-4N-PK","0.0",0,"$"
"HB2-B3-M-6N","163.19",0,"$"
"HB2-B3-M-6N-P","0.0",0,"$"
"HB2-B3-M-6N-PK","0.0",0,"$"
"HB3-B3-M-8N","257.3",0,"$"
"HB3-B3-M-8N-P","0.0",0,"$"
"HB3-B3-M-8N-PK","0.0",0,"$"
"HB2-B3-F-4R","0.0",0,"$"
"HB2-B3-F-4R-P","0.0",0,"$"
"HB2-B3-F-4R-PK","0.0",0,"$"
"HB3-B3-F-6R","0.0",0,"$"
"HB3-B3-F-6R-P","0.0",0,"$"
"HB3-B3-F-6R-PK","0.0",0,"$"
"HB3-B3-F-8R","0.0",0,"$"
"HB3-B3-F-8R-P","0.0",0,"$"
"HB3-B3-F-8R-PK","267.04",0,"$"
"HB1-B3-M-4R","0.0",0,"$"
"HB1-B3-M-4R-P","0.0",0,"$"
"HB1-B3-M-4R-PK","0.0",0,"$"
"HB2-B3-M-6R","0.0",0,"$"
"HB2-B3-M-6R-P","0.0",0,"$"
"HB2-B3-M-6R-PK","0.0",0,"$"
"HB3-B3-M-8R","0.0",0,"$"
"HB3-B3-M-8R-P","0.0",0,"$"
"HB3-B3-M-8R-PK","0.0",0,"$"
