code;value;count;currency
TL-6x1mm-S316/316L;4.64;7913;$
TC-6x1mm-S316/316L;5.2;1863;$
TL-6x1.5mm-S316/316L;6.02;1555;$
TL-8x1mm-S316/316L;6.04;473;$
TC-8x1mm-S316/316L;13.32;677;$
TL-8x1.5mm-S316/316L;8.28;496;$
TC-10x1mm-S316/316L;14.04;0;$
TL-10x1mm-S316/316L;7.53;2957;$
TL-10x1.5mm-S316/316L;10.33;3563;$
TL-10x2mm-S316/316L;12.97;769;$
TC-12x1mm-S316/316L;16.44;0;$
TL-12x1mm-S316/316L;8.63;0;$
TL-12x1.5mm-S316/316L;12.15;5041;$
TC-14x1mm-S316/316L;21.72;8;$
TL-12x2mm-S316/316L;15.68;1001;$
TL-14x1.5mm-S316/316L;19.08;0;$
TL-14x1mm-S316/316L;18.12;0;$
TL-14x2mm-S316/316L;17.58;2955;$
TL-15x1.5mm-S316/316L;15.07;115;$
TL-15x2mm-S316/316L;20.64;153;$
TC-16x1mm-S316/316L;24.72;25;$
TL-16x1mm-S316/316L;20.64;0;$
TL-16x2mm-S316/316L;19.35;615;$
TL-18x2mm-S316/316L;20.86;1632;$
TL-20x2mm-S316/316L;23.5;1231;$
TL-22x2mm-S316/316L;26.09;1021;$
TL-25x2mm-S316/316L;26.88;0;$
TL-25x2.5mm-S316/316L;36.01;2547;$
TL-32x3mm-S316/316L;55.69;289;$
TL-38x2mm-S316/316L;46.08;88;$
TL-50x2.5mm-S316/316L;81;0;$
TL-60x2.5mm-S316/316L;93.12;47;$
