code;value;count;currency
TL-6x1mm-S316/316L(Korea);8.28;3161;$
TL-6x1.5mm-S316/316L(Korea);10.68;1171;$
TL-6.35x0.89mm-S316/316L(Korea);8.28;8396;$
TL-6,35x1.24mm-S316/316L(Korea);9.6;2595;$
TL-6,35x1,65mm-S316/316L(Korea);11,76;912;$
TL-8x1mm-S316/316L(Korea);11.64;19713;$
TL-8x1.5mm-S316/316L(Korea);12.56;12;$
TL-9.53x0.89mm-S316/316L(Korea);12.12;314;$
TL-9.53x1.24mm-S316/316L(Korea);13.32;0;$
TL-10x1mm-S316/316L(Korea);12.36;4314;$
TL-10x1.5mm-S316/316L(Korea);16.68;4933;$
TL-10x2mm-S316/316L(Korea);18.6;3300;$
TL-12x2mm-S316/316L(Korea);21.36;6948;$
TL-12x1mm-S316/316L(Korea);14.04;12990;$
TL-12x1.5mm-S316/316L(Korea);18.48;25247;$
TL-12.7x0.89mm-S316/316L(Korea);14.52;2509;$
TL-12.7x1.24mm-S316/316L(Korea);16.32;1223;$
TL-12.7x1.65mm-S316/316L(Korea);17.76;933;$
TL-14x1.5mm-S316/316L(Korea);21,4;0;$
TL-14x2mm-S316/316L(Korea);23.64;11440;$
TL-15x1.5mm-S316/316L(Korea);21.36;0;$
TL-15x2mm-S316/316L(Korea);22.7;1194;$
TL-16x1.5mm-S316/316L(Korea);23,28;13846;$
TL-16x2mm-S316/316L(Korea);25.44;4222;$
TL-16x3mm-S316/316L(Korea);27.12;1284;$
TL-18x2mm-S316/316L(Korea);27;6076;$
TL-19,05x1,65mm-S316/316L(Korea);25.32;973;$
TL-20x2mm-S316/316L(Korea);27.36;3238;$
TL-20x2,5mm-S316/316L(Korea);32.64;4050;$
TL-22x2mm-S316/316L(Korea);30.6;2739;$
TL-22x2.5mm-S316/316L(Korea);36.72;745;$
TL-25x2mm-S316/316L(Korea);30.6;1;$
TL-25x2,5mm-S316/316L(Korea);40.92;2172;$
TL-25x3mm-S316/316L(Korea);46.32;2145;$
TL-25,4x2,11mm-S316/316L(Korea);36.72;1399;$
TL-32x3mm-S316/316L(Korea);59.76;361;$
TL-38x3mm-S316/316L(Korea);69.24;768;$
TC-1/8x0.016-S316/316L(Korea);6.6;123;$
TC-1/8x0.028-S316/316L(Korea);8.04;501;$
TC-1/8x0.02-S316/316L(Korea);6.96;2033;$
TC-3x0.5mm-S316/316L(Korea);10.32;130;$
TC-3x0.7mm-S316/316L(Korea);13.56;1;$
TC-6x1mm-S316/316L(Korea);12.72;0;$
TC-8x1mm-S316/316L(Korea);16.68;1171;$
TC-10x1mm-S316/316L(Korea);18.36;630;$
TC-12x1mm-S316/316L(Korea);18.08;665;$
TC-6,35x0,89mm-S316/316L(Korea);12.48;343;$
TC-6,35x1,24mm-S316/316L(Korea);13.56;952;$
TC-6,35x1,65mm-S316/316L(Korea);17.92;3030;$
TC-9,53x0,89mm-S316/316L(Korea);17.76;269;$
TC-9,53x1,24mm-S316/316L(Korea);21.36;10275;$
