code;value;count;currency
T-3x0.5mm-316L;10;0;€
T-3x0.5mm-316L-coil;8.62;0;€
T-3x0.7mm-316L-coil;11.26;0;€
T-6x1mm-316L;6.9;87;€
T-6x1mm-304L;6;0;€
T-6x1mm-316L-coil;10.6;0;€
T-6x1.5mm-316L;9.22;18;€
T-8x1mm-316L;9.72;4;€
T-8x1.5mm-316L;10.25;0;€
T-8x1mm-316L-coil;12.96;0;€
T-10x1mm-316L;10.28;0;€
T-10x1mm-304L;8.9;0;€
T-10x1.5mm-316L;13.9;112;€
T-10x2mm-316L;15.58;3;€
T-12x1mm-316L;11.74;0;€
T-12x1mm-304L;10.2;0;€
T-12x1.5mm-316L;15.44;0;€
T-12x1.5mm-304L;14.4;0;€
T-12x1.5mm-321;10.8;0;€
T-12x2mm-316L;17.88;300;€
T-14x2mm-316L;19.72;0;€
T-16x1.5mm-316L;17.6;0;€
T-16x2mm-316L;21.22;164;€
T-16x3mm-316L;25.4;0;€
T-18x2mm-316L;22.46;0;€
T-22x2mm-316L;24.4;0;€
T-25x2mm-316L;25.52;0;€
T-25x2.5mm-316L;29.86;2;€
T-25x2.5mm-316L-unpolished;22.3;0;€
T-3x0.5mm-S316L-coil;8.6;0;€
T-20x2mm-316L;23.5;0;€
