code;value;count;currency
BF300-G-0-A1-A-A-15-4F-0-G-S(0.03-0.3)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(0.06-0.6)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(0.075-0.75)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(0.13-1.3)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(0.17-1.7)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(0.2-2)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(0.5-5)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(0.6-6)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(1-10)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(1.5-15)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(1.8-18)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(2-20)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(3-30)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(4-40)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(5-50)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(6-60)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(7-70)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(8.5-85)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(9-90)-N-D;536;0;$
BF300-G-0-A1-A-A-15-4F-0-G-S(10-100)-N-D;536;0;$
BF300-G-0-A1-A-A-15-10F-0-G-S(0.03-0.3)-N-D;578;0;$
BF300-G-0-A1-A-A-15-10F-0-S-S(0.03-0.3)-N-D;565.5;0;$
BF300-GS-C1-A1-A-A-15-10F-G-G-S(0.03-0.3)-N-D;916.5;0;$
BF300-GS-C1-A1-A-A-15-10F-G-S-S(0.03-0.3)-N-D;874;0;$
BF300-GS-C2-A1-A-A-15-10F-G-G-S(0.03-0.3)-N-D;1391.5;0;$
BF300-GS-C2-A1-A-A-15-10F-G-S-S(0.03-0.3)-N-D;1349;0;$
BF300-GS-M1-A1-A-A-15-10F-G-G-S(0.03-0.3)-N-D;766.5;0;$
BF300-GS-M1-A1-A-A-15-10F-G-S-S(0.03-0.3)-N-D;724;0;$
BF300-GS-R1-A1-A-A-15-10F-G-G-S(0.03-0.3)-N-D;1241.5;0;$
BF300-GS-R1-A1-A-A-15-10F-G-S-S(0.03-0.3)-N-D;1199;0;$
BF300-GS-R2-A1-A-A-15-10F-G-G-S(0.03-0.3)-N-D;691.5;0;$
BF300-GS-R2-A1-A-A-15-10F-G-S-S(0.03-0.3)-N-D;649;0;$
BF300-GT-0-A1-A-A-15-10F-G-G-S(0.03-0.3)-N-D;791.5;0;$
BF300-GT-0-A1-A-A-15-10F-G-S-S(0.03-0.3)-N-D;749;0;$
BF300-G-0-A1-A-A-15-4F-0-S-S(0.03-0.3)-N-D;521.5;0;$
BF300-GS-C1-A1-A-A-15-4F-G-G-S(0.03-0.3)-N-D;1057;0;$
BF300-GS-C1-A1-A-A-15-4F-G-S-S(0.03-0.3)-N-D;865.5;0;$
BF300-GS-C2-A1-A-A-15-4F-G-G-S(0.03-0.3)-N-D;1532;0;$
BF300-GS-C2-A1-A-A-15-4F-G-S-S(0.03-0.3)-N-D;1340.5;0;$
BF300-GS-M1-A1-A-A-15-4F-G-G-S(0.03-0.3)-N-D;907;0;$
BF300-GS-M1-A1-A-A-15-4F-G-S-S(0.03-0.3)-N-D;715.5;0;$
BF300-GS-R1-A1-A-A-15-4F-G-G-S(0.03-0.3)-N-D;1382;0;$
BF300-GS-R1-A1-A-A-15-4F-G-S-S(0.03-0.3)-N-D;1190.5;0;$
BF300-GS-R2-A1-A-A-15-4F-G-G-S(0.03-0.3)-N-D;832;0;$
BF300-GS-R2-A1-A-A-15-4F-G-S-S(0.03-0.3)-N-D;640.5;0;$
BF300-GT-0-A1-A-A-15-4F-G-G-S(0.03-0.3)-N-D;932;0;$
BF300-GT-0-A1-A-A-15-4F-G-S-S(0.03-0.3)-N-D;740.5;0;$
BF300-G-0-A1-A-A-15-6F-0-G-S(0.03-0.3)-N-D;521.5;0;$
BF300-G-0-A1-A-A-15-6F-0-S-S(0.03-0.3)-N-D;615.5;0;$
BF300-GS-C1-A1-A-A-15-6F-G-G-S(0.03-0.3)-N-D;865.5;0;$
BF300-GS-C1-A1-A-A-15-6F-G-S-S(0.03-0.3)-N-D;954;0;$
BF300-GS-C2-A1-A-A-15-6F-G-G-S(0.03-0.3)-N-D;1340.5;0;$
BF300-GS-C2-A1-A-A-15-6F-G-S-S(0.03-0.3)-N-D;1429;0;$
BF300-GS-M1-A1-A-A-15-6F-G-G-S(0.03-0.3)-N-D;715.5;0;$
BF300-GS-M1-A1-A-A-15-6F-G-S-S(0.03-0.3)-N-D;804;0;$
BF300-GS-R1-A1-A-A-15-6F-G-G-S(0.03-0.3)-N-D;1190.5;0;$
BF300-GS-R1-A1-A-A-15-6F-G-S-S(0.03-0.3)-N-D;1279;0;$
BF300-GS-R2-A1-A-A-15-6F-G-G-S(0.03-0.3)-N-D;640.5;0;$
BF300-GS-R2-A1-A-A-15-6F-G-S-S(0.03-0.3)-N-D;729;0;$
BF300-GT-0-A1-A-A-15-6F-G-G-S(0.03-0.3)-N-D;740.5;0;$
BF300-GT-0-A1-A-A-15-6F-G-S-S(0.03-0.3)-N-D;829;0;$
BF300-G-0-A1-A-A-30-10F-0-G-S(0.03-0.3)-N-D;593;0;$
BF300-G-0-A1-A-A-30-10F-0-S-S(0.03-0.3)-N-D;698;0;$
BF300-GS-C1-A1-A-A-30-10F-G-G-S(0.03-0.3)-N-D;882;0;$
BF300-GS-C1-A1-A-A-30-10F-G-S-S(0.03-0.3)-N-D;975;0;$
BF300-GS-C2-A1-A-A-30-10F-G-G-S(0.03-0.3)-N-D;1357;0;$
BF300-GS-C2-A1-A-A-30-10F-G-S-S(0.03-0.3)-N-D;1450;0;$
BF300-GS-M1-A1-A-A-30-10F-G-G-S(0.03-0.3)-N-D;732;0;$
BF300-GS-M1-A1-A-A-30-10F-G-S-S(0.03-0.3)-N-D;825;0;$
BF300-GS-R1-A1-A-A-30-10F-G-G-S(0.03-0.3)-N-D;1207;0;$
BF300-GS-R1-A1-A-A-30-10F-G-S-S(0.03-0.3)-N-D;1300;0;$
BF300-GS-R2-A1-A-A-30-10F-G-G-S(0.03-0.3)-N-D;657;0;$
BF300-GS-R2-A1-A-A-30-10F-G-S-S(0.03-0.3)-N-D;750;0;$
BF300-GT-0-A1-A-A-30-10F-G-G-S(0.03-0.3)-N-D;757;0;$
BF300-GT-0-A1-A-A-30-10F-G-S-S(0.03-0.3)-N-D;850;0;$
