code;value;count;currency
CBTF-2-2R  ;35.6;0;$
CBTF-2-2R  -BRAS;0;0;$
CBTF-2-2R  -STEL;0;0;$
CBTF-4-2R;0;0;$
CBTF-4-2R-BRAS;0;0;$
CBTF-4-2R-STEL;0;0;$
CBTF-4-4R;0;0;$
CBTF-4-4R-BRAS;0;0;$
CBTF-4-4R-STEL;0;0;$
CBTF-6-4R;0;0;$
CBTF-6-4R-BRAS;0;0;$
CBTF-6-4R-STEL;0;0;$
CBTF-8-4R;0;0;$
CBTF-8-4R-BRAS;0;0;$
CBTF-8-4R-STEL;0;0;$
CBTF-8-6R;0;0;$
CBTF-8-6R-BRAS;0;0;$
CBTF-8-6R-STEL;0;0;$
CBTF-8-8R;0;0;$
CBTF-8-8R-BRAS;0;0;$
CBTF-8-8R-STEL;0;0;$
CBTF-10-8R;0;0;$
CBTF-10-8R-BRAS;0;0;$
CBTF-10-8R-STEL;0;0;$
CBTF-12-12R;0;0;$
CBTF-12-12R-BRAS;0;0;$
CBTF-12-12R-STEL;0;0;$
CBTF-16-12R;0;0;$
CBTF-16-12R-BRAS;0;0;$
CBTF-16-12R-STEL;0;0;$
CBTF-16-16R;0;0;$
CBTF-16-16R-BRAS;0;0;$
CBTF-16-16R-STEL;0;0;$
CBTF-3M-2R;0;0;$
CBTF-3M-2R-BRAS;0;0;$
CBTF-3M-2R-STEL;0;0;$
CBTF-6M-2R;0;0;$
CBTF-6M-2R-BRAS;0;0;$
CBTF-6M-2R-STEL;0;0;$
CBTF-6M-4R;0;12;$
CBTF-6M-4R-BRAS;0;0;$
CBTF-6M-4R-STEL;0;0;$
CBTF-6M-6R;0;0;$
CBTF-6M-6R-BRAS;0;0;$
CBTF-6M-6R-STEL;0;0;$
CBTF-6M-8R;53.14;0;$
CBTF-6M-8R-BRAS;0;0;$
CBTF-6M-8R-STEL;0;0;$
CBTF-8M-2R;0;0;$
CBTF-8M-2R-BRAS;0;0;$
CBTF-8M-2R-STEL;0;0;$
CBTF-8M-4R;0;0;$
CBTF-8M-4R-BRAS;0;0;$
CBTF-8M-4R-STEL;0;0;$
CBTF-8M-6R;0;0;$
CBTF-8M-6R-BRAS;0;0;$
CBTF-8M-6R-STEL;0;0;$
CBTF-8M-8R;0;0;$
CBTF-8M-8R-BRAS;0;0;$
CBTF-8M-8R-STEL;0;0;$
CBTF-10M-4R;41.24;0;$
CBTF-10M-4R-BRAS;0;0;$
CBTF-10M-4R-STEL;0;0;$
CBTF-10M-6R;43;2;$
CBTF-10M-6R-BRAS;0;0;$
CBTF-10M-6R-STEL;0;0;$
CBTF-10M-8R;0;0;$
CBTF-10M-8R-BRAS;0;0;$
CBTF-10M-8R-STEL;0;0;$
CBTF-12M-4R;58.96;0;$
CBTF-12M-4R-BRAS;0;0;$
CBTF-12M-4R-STEL;0;0;$
CBTF-12M-6R;55.06;30;$
CBTF-12M-6R-BRAS;0;0;$
CBTF-12M-6R-STEL;0;0;$
CBTF-12M-8R;0;0;$
CBTF-12M-8R-BRAS;0;0;$
CBTF-12M-8R-STEL;0;0;$
CBTF-16M-8R;0;0;$
CBTF-16M-8R-BRAS;0;0;$
CBTF-16M-8R-STEL;0;0;$
CBTF-20M-12R;0;0;$
CBTF-20M-12R-BRAS;0;0;$
CBTF-20M-12R-STEL;0;0;$
CBTF-25M-12R;0;0;$
CBTF-25M-12R-BRAS;0;0;$
CBTF-25M-12R-STEL;0;0;$
CBTF-25M-16R;0;0;$
CBTF-25M-16R-BRAS;0;0;$
CBTF-25M-16R-STEL;0;0;$
