code;value;count;currency
CBU-1;44.28;29;$
CBU-1-BRAS;0;0;$
CBU-1-STEL;0;0;$
CBU-2;26.06;239;$
CBU-2-BRAS;0;0;$
CBU-2-STEL;0;0;$
CBU-3;26.06;0;$
CBU-3-BRAS;0;0;$
CBU-3-STEL;0;0;$
CBU-4;18.98;383;$
CBU-4-BRAS;0;0;$
CBU-4-STEL;0;0;$
CBU-5;21.63;0;$
CBU-5-BRAS;0;0;$
CBU-5-STEL;0;0;$
CBU-6;27.32;66;$
CBU-6-BRAS;0;0;$
CBU-6-STEL;0;0;$
CBU-8;39.47;358;$
CBU-8-BRAS;0;0;$
CBU-8-STEL;0;0;$
CBU-10;56.17;0;$
CBU-10-BRAS;0;0;$
CBU-10-STEL;0;0;$
CBU-12;65.78;1;$
CBU-12-BRAS;0;0;$
CBU-12-STEL;0;0;$
CBU-14;85.01;0;$
CBU-14-BRAS;0;0;$
CBU-14-STEL;0;0;$
CBU-16;126.88;0;$
CBU-16-BRAS;0;0;$
CBU-16-STEL;0;0;$
CBU-20;287.41;0;$
CBU-20-BRAS;0;0;$
CBU-20-STEL;0;0;$
CBU-24;466.15;0;$
CBU-24-BRAS;0;0;$
CBU-24-STEL;0;0;$
CBU-32;930.66;0;$
CBU-32-BRAS;0;0;$
CBU-32-STEL;0;0;$
