code;value;count;currency
CFC-6M-2G;13.06;0;$
CFC-6M-2G-BRAS;0;0;$
CFC-6M-2G-STEL;0;0;$
CFC-6M-4G;25.33;0;$
CFC-6M-4G-BRAS;0;0;$
CFC-6M-4G-STEL;0;0;$
CFC-6M-6G;0;0;$
CFC-6M-6G-BRAS;0;0;$
CFC-6M-6G-STEL;0;0;$
CFC-6M-8G;24.07;0;$
CFC-6M-8G-BRAS;0;0;$
CFC-6M-8G-STEL;0;0;$
CFC-8M-4G;0;0;$
CFC-8M-4G-BRAS;0;0;$
CFC-8M-4G-STEL;0;0;$
CFC-8M-8G;24.24;0;$
CFC-8M-8G-BRAS;0;0;$
CFC-8M-8G-STEL;0;0;$
CFC-10M-4G;0;0;$
CFC-10M-4G-BRAS;0;0;$
CFC-10M-4G-STEL;0;0;$
CFC-10M-6G;0;0;$
CFC-10M-6G-BRAS;0;0;$
CFC-10M-6G-STEL;0;0;$
CFC-10M-8G;28.86;0;$
CFC-10M-8G-BRAS;0;0;$
CFC-10M-8G-STEL;0;0;$
CFC-12M-4G;0;0;$
CFC-12M-4G-BRAS;0;0;$
CFC-12M-4G-STEL;0;0;$
CFC-12M-6G;0;0;$
CFC-12M-6G-BRAS;0;0;$
CFC-12M-6G-STEL;0;0;$
CFC-12M-8G;32;59;$
CFC-12M-8G-BRAS;0;0;$
CFC-12M-8G-STEL;0;0;$
CFC-14M-4G;0;0;$
CFC-14M-4G-BRAS;0;0;$
CFC-14M-4G-STEL;0;0;$
CFC-14M-6G;0;0;$
CFC-14M-6G-BRAS;0;0;$
CFC-14M-6G-STEL;0;0;$
CFC-14M-8G;0;0;$
CFC-14M-8G-BRAS;0;0;$
CFC-14M-8G-STEL;0;0;$
CFC-4-2G;0;0;$
CFC-4-2G-BRAS;0;0;$
CFC-4-2G-STEL;0;0;$
CFC-4-4G;21.15;0;$
CFC-4-4G-BRAS;0;0;$
CFC-4-4G-STEL;0;0;$
CFC-4-6G;0;0;$
CFC-4-6G-BRAS;0;0;$
CFC-4-6G-STEL;0;0;$
CFC-4-8G;0;0;$
CFC-4-8G-BRAS;0;0;$
CFC-4-8G-STEL;0;0;$
CFC-5-4G;0;0;$
CFC-5-4G-BRAS;0;0;$
CFC-5-4G-STEL;0;0;$
CFC-5-8G;0;0;$
CFC-5-8G-BRAS;0;0;$
CFC-5-8G-STEL;0;0;$
CFC-6-4G;0;0;$
CFC-6-4G-BRAS;0;0;$
CFC-6-4G-STEL;0;0;$
CFC-6-6G;0;0;$
CFC-6-6G-BRAS;0;0;$
CFC-6-6G-STEL;0;0;$
CFC-6-8G;0;0;$
CFC-6-8G-BRAS;0;0;$
CFC-6-8G-STEL;0;0;$
CFC-8-4G;22.78;0;$
CFC-8-4G-BRAS;0;0;$
CFC-8-4G-STEL;0;0;$
CFC-8-6G;0;0;$
CFC-8-6G-BRAS;0;0;$
CFC-8-6G-STEL;0;0;$
CFC-8-8G;0;0;$
CFC-8-8G-BRAS;0;0;$
CFC-8-8G-STEL;0;0;$
