code;value;count;currency
CLF-2-2N;22.26;0;$
CLF-2-2N-BRAS;0;0;$
CLF-2-2N-STEL;0;0;$
CLF-2-4N;26.06;0;$
CLF-2-4N-BRAS;0;0;$
CLF-2-4N-STEL;0;0;$
CLF-3-2N;19.86;0;$
CLF-3-2N-BRAS;0;0;$
CLF-3-2N-STEL;0;0;$
CLF-4-2N;19.35;0;$
CLF-4-2N-BRAS;0;0;$
CLF-4-2N-STEL;0;0;$
CLF-4-4N;22.14;13;$
CLF-4-4N-BRAS;0;0;$
CLF-4-4N-STEL;0;0;$
CLF-4-6N;32.26;0;$
CLF-4-6N-BRAS;0;0;$
CLF-4-6N-STEL;0;0;$
CLF-4-8N;36.43;0;$
CLF-4-8N-BRAS;0;0;$
CLF-4-8N-STEL;0;0;$
CLF-5-2N;22.39;0;$
CLF-5-2N-BRAS;0;0;$
CLF-5-2N-STEL;0;0;$
CLF-5-4N;25.93;0;$
CLF-5-4N-BRAS;0;0;$
CLF-5-4N-STEL;0;0;$
CLF-6-2N;21.63;0;$
CLF-6-2N-BRAS;0;0;$
CLF-6-2N-STEL;0;0;$
CLF-6-4N;22.64;20;$
CLF-6-4N-BRAS;0;0;$
CLF-6-4N-STEL;0;0;$
CLF-6-6N;25.43;18;$
CLF-6-6N-BRAS;0;0;$
CLF-6-6N-STEL;0;0;$
CLF-6-8N;37.57;0;$
CLF-6-8N-BRAS;0;0;$
CLF-6-8N-STEL;0;0;$
CLF-8-4N;29.22;0;$
CLF-8-4N-BRAS;0;0;$
CLF-8-4N-STEL;0;0;$
CLF-8-6N;30.74;0;$
CLF-8-6N-BRAS;0;0;$
CLF-8-6N-STEL;0;0;$
CLF-8-8N;41.49;47;$
CLF-8-8N-BRAS;0;0;$
CLF-8-8N-STEL;0;0;$
CLF-10-6N;38.84;0;$
CLF-10-6N-BRAS;0;0;$
CLF-10-6N-STEL;0;0;$
CLF-10-8N;45.03;0;$
CLF-10-8N-BRAS;0;0;$
CLF-10-8N-STEL;0;0;$
CLF-12-8N;52.62;0;$
CLF-12-8N-BRAS;0;0;$
CLF-12-8N-STEL;0;0;$
CLF-12-12N;83.24;0;$
CLF-12-12N-BRAS;0;0;$
CLF-12-12N-STEL;0;0;$
CLF-14-12N;99.18;0;$
CLF-14-12N-BRAS;0;0;$
CLF-14-12N-STEL;0;0;$
CLF-16-12N;111.07;0;$
CLF-16-12N-BRAS;0;0;$
CLF-16-12N-STEL;0;0;$
CLF-16-16N;133.33;0;$
CLF-16-16N-BRAS;0;0;$
CLF-16-16N-STEL;0;0;$
CLF-3M-2N;22.26;0;$
CLF-3M-2N-BRAS;0;0;$
CLF-3M-2N-STEL;0;0;$
CLF-3M-4N;26.06;0;$
CLF-3M-4N-BRAS;0;0;$
CLF-3M-4N-STEL;0;0;$
CLF-4M-2N;19.86;0;$
CLF-4M-2N-BRAS;0;0;$
CLF-4M-2N-STEL;0;0;$
CLF-6M-2N;19.35;0;$
CLF-6M-2N-BRAS;0;0;$
CLF-6M-2N-STEL;0;0;$
CLF-6M-4N;22.14;8;$
CLF-6M-4N-BRAS;0;46;$
CLF-6M-4N-STEL;0;0;$
CLF-6M-6N;32.26;0;$
CLF-6M-6N-BRAS;0;0;$
CLF-6M-6N-STEL;0;0;$
CLF-6M-8N;36.43;0;$
CLF-6M-8N-BRAS;0;0;$
CLF-6M-8N-STEL;0;0;$
CLF-8M-2N;22.39;0;$
CLF-8M-2N-BRAS;0;0;$
CLF-8M-2N-STEL;0;0;$
CLF-8M-4N;25.93;16;$
CLF-8M-4N-BRAS;0;0;$
CLF-8M-4N-STEL;0;0;$
CLF-8M-8N;0;28;$
CLF-8M-8N-BRAS;0;0;$
CLF-8M-8N-STEL;0;0;$
CLF-10M-2N;21.63;0;$
CLF-10M-2N-BRAS;0;0;$
CLF-10M-2N-STEL;0;0;$
CLF-10M-4N;22.64;54;$
CLF-10M-4N-BRAS;0;0;$
CLF-10M-4N-STEL;0;0;$
CLF-10M-6N;25.43;10;$
CLF-10M-6N-BRAS;0;0;$
CLF-10M-6N-STEL;0;0;$
CLF-10M-8N;37.57;0;$
CLF-10M-8N-BRAS;0;0;$
CLF-10M-8N-STEL;0;0;$
CLF-12M-4N;29.22;0;$
CLF-12M-4N-BRAS;0;0;$
CLF-12M-4N-STEL;0;0;$
CLF-12M-6N;30.74;23;$
CLF-12M-6N-BRAS;0;0;$
CLF-12M-6N-STEL;0;0;$
CLF-12M-8N;41.49;0;$
CLF-12M-8N-BRAS;0;0;$
CLF-12M-8N-STEL;0;0;$
CLF-16M-6N;38.84;0;$
CLF-16M-6N-BRAS;0;0;$
CLF-16M-6N-STEL;0;0;$
CLF-16M-8N;45.03;0;$
CLF-16M-8N-BRAS;0;0;$
CLF-16M-8N-STEL;0;0;$
CLF-20M-8N;52.62;7;$
CLF-20M-8N-BRAS;0;0;$
CLF-20M-8N-STEL;0;18;$
CLF-20M-12N;83.24;20;$
CLF-20M-12N-BRAS;0;0;$
CLF-20M-12N-STEL;0;0;$
CLF-22M-12N;99.18;0;$
CLF-22M-12N-BRAS;0;0;$
CLF-22M-12N-STEL;0;0;$
CLF-25M-12N;111.07;0;$
CLF-25M-12N-BRAS;0;0;$
CLF-25M-12N-STEL;0;0;$
CLF-25M-16N;133.33;0;$
CLF-25M-16N-BRAS;0;0;$
CLF-25M-16N-STEL;0;0;$
