code;value;count;currency
CMCT-2M-2N ;14.56;24;$
CMCT-2M-2N -BRAS;0;0;$
CMCT-2M-2N -STEL;0;0;$
CMCT-2M-8N ;0;0;$
CMCT-2M-8N -BRAS;0;0;$
CMCT-2M-8N -STEL;0;0;$
CMCT-3M-1N ;9.99;0;$
CMCT-3M-1N -BRAS;0;0;$
CMCT-3M-1N -STEL;0;0;$
CMCT-3M-2N ;9.74;48;$
CMCT-3M-2N -BRAS;0;0;$
CMCT-3M-2N -STEL;0;0;$
CMCT-3M-4N ;11.13;24;$
CMCT-3M-4N -BRAS;0;0;$
CMCT-3M-4N -STEL;0;0;$
CMCT-3M-8N ;0;0;$
CMCT-3M-8N -BRAS;0;0;$
CMCT-3M-8N -STEL;0;0;$
CMCT-4M-2N ;9.99;3;$
CMCT-4M-2N -BRAS;0;0;$
CMCT-4M-2N -STEL;0;0;$
CMCT-4M-4N ;10.63;0;$
CMCT-4M-4N -BRAS;0;0;$
CMCT-4M-4N -STEL;0;0;$
CMCT-4M-8N ;0;0;$
CMCT-4M-8N -BRAS;0;0;$
CMCT-4M-8N -STEL;0;0;$
CMCT-6M-2N ;9.11;50;$
CMCT-6M-2N -BRAS;0;0;$
CMCT-6M-2N -STEL;0;0;$
CMCT-6M-4N ;9.36;117;$
CMCT-6M-4N -BRAS;0;0;$
CMCT-6M-4N -STEL;0;0;$
CMCT-6M-6N ;12.4;0;$
CMCT-6M-6N -BRAS;0;0;$
CMCT-6M-6N -STEL;0;0;$
CMCT-6M-8N ;16.45;19;$
CMCT-6M-8N -BRAS;0;0;$
CMCT-6M-8N -STEL;0;0;$
CMCT-8M-4N ;12.02;0;$
CMCT-8M-4N -BRAS;0;0;$
CMCT-8M-4N -STEL;0;0;$
CMCT-8M-8N ;16.01;25;$
CMCT-8M-8N -BRAS;0;0;$
CMCT-8M-8N -STEL;0;0;$
CMCT-10M-6N ;14.42;0;$
CMCT-10M-6N -BRAS;0;0;$
CMCT-10M-6N -STEL;0;0;$
CMCT-10M-8N ;17.46;67;$
CMCT-10M-8N -BRAS;0;0;$
CMCT-10M-8N -STEL;0;0;$
CMCT-10M-12N ;22.52;0;$
CMCT-10M-12N -BRAS;0;0;$
CMCT-10M-12N -STEL;0;0;$
CMCT-12M-8N ;20.75;15;$
CMCT-12M-8N -BRAS;0;0;$
CMCT-12M-8N -STEL;0;0;$
CMCT-12M-12N ;27.83;0;$
CMCT-12M-12N -BRAS;0;0;$
CMCT-12M-12N -STEL;0;0;$
CMCT-1-1N ;14.93;0;$
CMCT-1-1N -BRAS;0;0;$
CMCT-1-1N -STEL;0;0;$
CMCT-1-2N ;14.42;0;$
CMCT-1-2N -BRAS;0;0;$
CMCT-1-2N -STEL;0;0;$
CMCT-2-1N ;9.99;0;$
CMCT-2-1N -BRAS;0;0;$
CMCT-2-1N -STEL;0;0;$
CMCT-2-2N ;9.74;65;$
CMCT-2-2N -BRAS;0;0;$
CMCT-2-2N -STEL;0;0;$
CMCT-2-4N ;11.13;28;$
CMCT-2-4N -BRAS;0;0;$
CMCT-2-4N -STEL;0;0;$
CMCT-3-2N ;9.99;0;$
CMCT-3-2N -BRAS;0;0;$
CMCT-3-2N -STEL;0;0;$
CMCT-3-4N ;10.63;0;$
CMCT-3-4N -BRAS;0;0;$
CMCT-3-4N -STEL;0;0;$
CMCT-4-2N ;9.11;54;$
CMCT-4-2N -BRAS;0;0;$
CMCT-4-2N -STEL;0;0;$
CMCT-4-4N ;9.36;100;$
CMCT-4-4N -BRAS;0;0;$
CMCT-4-4N -STEL;0;0;$
CMCT-4-6N ;12.4;110;$
CMCT-4-6N -BRAS;0;0;$
CMCT-4-6N -STEL;0;0;$
CMCT-4-8N ;16.45;30;$
CMCT-4-8N -BRAS;0;0;$
CMCT-4-8N -STEL;0;0;$
CMCT-5-4N ;12.02;0;$
CMCT-5-4N -BRAS;0;0;$
CMCT-5-4N -STEL;0;0;$
CMCT-6-6N ;14.42;21;$
CMCT-6-6N -BRAS;0;0;$
CMCT-6-6N -STEL;0;0;$
CMCT-6-8N ;17.46;67;$
CMCT-6-8N -BRAS;0;0;$
CMCT-6-8N -STEL;0;0;$
CMCT-6-12N ;22.52;0;$
CMCT-6-12N -BRAS;0;0;$
CMCT-6-12N -STEL;0;0;$
CMCT-8-8N ;20.75;0;$
CMCT-8-8N -BRAS;0;0;$
CMCT-8-8N -STEL;0;0;$
CMCT-8-12N ;27.83;168;$
CMCT-8-12N -BRAS;0;0;$
CMCT-8-12N -STEL;0;0;$
CMCT-12-12N ;0;4;$
CMCT-12-12N -BRAS;0;0;$
CMCT-12-12N -STEL;0;0;$
