code;value;count;currency
CNFS-2M  ;8.91;2392;$
CNFS-2M  -BRAS;0;0;$
CNFS-2M  -STEL;0;0;$
CNFS-3M  ;5.59;20708;$
CNFS-3M  -BRAS;0;0;$
CNFS-3M  -STEL;0;0;$
CNFS-4M  ;5.31;94;$
CNFS-4M  -BRAS;0;0;$
CNFS-4M  -STEL;0;0;$
CNFS-6M  ;5.07;59772;$
CNFS-6M  -BRAS;0;0;$
CNFS-6M  -STEL;0;0;$
CNFS-8M  ;5.45;80742;$
CNFS-8M  -BRAS;0;0;$
CNFS-8M  -STEL;0;0;$
CNFS-10M  ;6.43;67696;$
CNFS-10M  -BRAS;0;0;$
CNFS-10M  -STEL;0;0;$
CNFS-12M  ;9.79;66346;$
CNFS-12M  -BRAS;0;0;$
CNFS-12M  -STEL;0;0;$
CNFS-14M  ;13.12;17039;$
CNFS-14M  -BRAS;0;0;$
CNFS-14M  -STEL;0;0;$
CNFS-15M  ;13.12;1349;$
CNFS-15M  -BRAS;0;0;$
CNFS-15M  -STEL;0;0;$
CNFS-16M  ;13.12;17171;$
CNFS-16M  -BRAS;0;0;$
CNFS-16M  -STEL;0;0;$
CNFS-18M  ;14.9;11586;$
CNFS-18M  -BRAS;0;0;$
CNFS-18M  -STEL;0;0;$
CNFS-20M  ;16.34;9511;$
CNFS-20M  -BRAS;0;0;$
CNFS-20M  -STEL;0;0;$
CNFS-22M  ;22.15;2626;$
CNFS-22M  -BRAS;0;0;$
CNFS-22M  -STEL;0;0;$
CNFS-25M  ;29.54;6487;$
CNFS-25M  -BRAS;0;0;$
CNFS-25M  -STEL;0;0;$
CNFS-32M  ;61.15;707;$
CNFS-32M  -BRAS;0;0;$
CNFS-32M  -STEL;0;0;$
CNFS-38M  ;103.29;284;$
CNFS-38M  -BRAS;0;0;$
CNFS-38M  -STEL;0;0;$
CNFS-50M  ;194.71;50;$
CNFS-50M  -BRAS;0;0;$
CNFS-50M  -STEL;0;0;$
