code;value;count;currency
COS-2-2U;15.69;0;$
COS-2-2U-BRAS;0;0;$
COS-2-2U-STEL;0;0;$
COS-3-3U;16.07;0;$
COS-3-3U-BRAS;0;0;$
COS-3-3U-STEL;0;0;$
COS-4-4U;16.45;0;$
COS-4-4U-BRAS;0;0;$
COS-4-4U-STEL;0;0;$
COS-5-5U;16.95;0;$
COS-5-5U-BRAS;0;0;$
COS-5-5U-STEL;0;0;$
COS-6-6U;19.35;0;$
COS-6-6U-BRAS;0;0;$
COS-6-6U-STEL;0;0;$
COS-8-8U;27.58;0;$
COS-8-8U-BRAS;0;0;$
COS-8-8U-STEL;0;0;$
COS-12-12U;38.71;0;$
COS-12-12U-BRAS;0;0;$
COS-12-12U-STEL;0;0;$
COS-16-16U;79.32;0;$
COS-16-16U-BRAS;0;0;$
COS-16-16U-STEL;0;0;$
