code;value;count;currency
CSL-6M;0;0;$
CSL-6M-BRAS;0;0;$
CSL-6M-STEL;0;0;$
CSL-8M;0;0;$
CSL-8M-BRAS;0;0;$
CSL-8M-STEL;0;0;$
CSL-10M;0;0;$
CSL-10M-BRAS;0;0;$
CSL-10M-STEL;0;0;$
CSL-12M;0;0;$
CSL-12M-BRAS;0;0;$
CSL-12M-STEL;0;0;$
CSL-15M;0;0;$
CSL-15M-BRAS;0;0;$
CSL-15M-STEL;0;0;$
CSL-16M;0;0;$
CSL-16M-BRAS;0;0;$
CSL-16M-STEL;0;0;$
CSL-18M;0;0;$
CSL-18M-BRAS;0;0;$
CSL-18M-STEL;0;0;$
CSL-20M;0;0;$
CSL-20M-BRAS;0;0;$
CSL-20M-STEL;0;0;$
CSL-22M;0;0;$
CSL-22M-BRAS;0;0;$
CSL-22M-STEL;0;0;$
CSL-25M;0;0;$
CSL-25M-BRAS;0;0;$
CSL-25M-STEL;0;0;$
