code;value;count;currency
SU-2M;0;0;$
SS-2M0-6;0;0;$
SS-2MO-6;0;0;$
SCM2-316;0;0;$
762L SS 2MM;0;0;$
SU-3M;0;0;$
SS-3M0-6;0;0;$
SS-3MO-6;0;0;$
SCM3-316;0;0;$
762L SS 3MM;0;0;$
SU-4M;0;0;$
SS-4M0-6;0;0;$
SS-4MO-6;0;0;$
SCM4-316;0;0;$
762L SS 4MM;0;0;$
SU-6M;0;0;$
SS-6M0-6;0;0;$
SS-6MO-6;0;0;$
SCM6-316;0;0;$
762L SS 6MM;0;0;$
SU-8M;0;0;$
SS-8M0-6;0;0;$
SS-8MO-6;0;0;$
SCM8-316;0;0;$
762L SS 8MM;0;0;$
SU-10M;0;0;$
SS-10M0-6;0;0;$
SS-10MO-6;0;0;$
SCM10-316;0;0;$
762L SS 10MM;0;0;$
SU-12M;0;0;$
SS-12M0-6;0;0;$
SS-12MO-6;0;0;$
SCM12-316;0;0;$
762L SS 12MM;0;0;$
SU-14M;0;0;$
SS-14M0-6;0;0;$
SS-14MO-6;0;0;$
SCM14-316;0;0;$
762L SS 14MM;0;0;$
SU-15M;0;0;$
SS-15M0-6;0;0;$
SS-15MO-6;0;0;$
SCM15-316;0;0;$
762L SS 15MM;0;0;$
SU-16M;0;0;$
SS-16M0-6;0;0;$
SS-16MO-6;0;0;$
SCM16-316;0;0;$
762L SS 16MM;0;0;$
SU-18M;0;0;$
SS-18M0-6;0;0;$
SS-18MO-6;0;0;$
SCM18-316;0;0;$
762L SS 18MM;0;0;$
SU-20M;0;0;$
SS-20M0-6;0;0;$
SS-20MO-6;0;0;$
SCM20-316;0;0;$
762L SS 20MM;0;0;$
SU-22M;0;0;$
SS-22M0-6;0;0;$
SS-22MO-6;0;0;$
SCM22-316;0;0;$
762L SS 22MM;0;0;$
SU-25M;0;0;$
SS-25M0-6;0;0;$
SS-25MO-6;0;0;$
SCM25-316;0;0;$
762L SS 25MM;0;0;$
SU-38M;0;0;$
SS-38M0-6;0;0;$
SS-38MO-6;0;0;$
SCM38-316;0;0;$
762L SS 38MM;0;0;$
SU-2M;0;0;$
SS-2M0-6;0;0;$
SS-2MO-6;0;0;$
SCM2-316;0;0;$
762L SS 2MM;0;0;$
SU-3M;0;0;$
SS-3M0-6;0;0;$
SS-3MO-6;0;0;$
SCM3-316;0;0;$
762L SS 3MM;0;0;$
SU-4M;0;0;$
SS-4M0-6;0;0;$
SS-4MO-6;0;0;$
SCM4-316;0;0;$
762L SS 4MM;0;0;$
SU-6M;0;0;$
SS-6M0-6;0;0;$
SS-6MO-6;0;0;$
SCM6-316;0;0;$
