code;value;count;currency
CYLA-89-1.0-15-F8N-AL;37.5;0;$
CYLA-111-1.4-15-F8N-AL;43.75;0;$
CYLA-111-1.7-15-F8N-AL;62.5;0;$
CYLA-108-2.0-15-F8N-AL;62.5;0;$
CYLA-120-2.5-15-F8N-AL;55;0;$
CYLA-140-4.0-15-F8N-AL;78.75;0;$
CYLA-140-5.0-15-F8N-AL;90;0;$
CYLA-73-0.5-20-F8N-AL;0;0;$
CYLA-102-1.0-20-F8N-AL;51.25;0;$
CYLA-102-2.0-20-F8N-AL;60.75;0;$
CYLA-111-1.0-20-F8N-AL;51.25;0;$
CYLA-111-2.0-20-F8N-AL;65.75;0;$
CYLA-111-3.0-20-F8N-AL;80;0;$
CYLA-140-4.0-20-F8N-AL;101.25;0;$
CYLA-140-5.0-20-F8N-AL;106.25;0;$
