code;value;count;currency
DAKR-1006X1.5;0;0;$
DAKR-1006X1.5-STEL;0;0;$
DAKR-1006X1.5-BRAS;0;0;$
DAKR-1008X2.0;0;0;$
DAKR-1008X2.0-STEL;0;0;$
DAKR-1008X2.0-BRAS;0;0;$
DAKR-1208X2.0;0;0;$
DAKR-1208X2.0-STEL;0;0;$
DAKR-1208X2.0-BRAS;0;0;$
DAKR-1210X1.5;0;0;$
DAKR-1210X1.5-STEL;0;0;$
DAKR-1210X1.5-BRAS;0;0;$
DAKR-1612X2.5;0;0;$
DAKR-1612X2.5-STEL;0;0;$
DAKR-1612X2.5-BRAS;0;0;$
DAKR-2012X2.5;0;44;$
DAKR-2012X2.5-STEL;0;0;$
DAKR-2012X2.5-BRAS;0;0;$
DAKR-2016X3.0;0;0;$
DAKR-2016X3.0-STEL;0;0;$
DAKR-2016X3.0-BRAS;0;0;$
DAKR-2516X3.0;0;0;$
DAKR-2516X3.0-STEL;0;0;$
DAKR-2516X3.0-BRAS;0;0;$
DAKR-2520X4.0;0;0;$
DAKR-2520X4.0-STEL;0;0;$
DAKR-2520X4.0-BRAS;0;0;$
DAKR-3016X2.0;0;0;$
DAKR-3016X2.0-STEL;0;0;$
DAKR-3016X2.0-BRAS;0;0;$
DAKR-3020X2.5;0;0;$
DAKR-3020X2.5-STEL;0;0;$
DAKR-3020X2.5-BRAS;0;0;$
DAKR-3025X3.0;0;0;$
DAKR-3025X3.0-STEL;0;0;$
DAKR-3025X3.0-BRAS;0;0;$
DAKR-3816X2.0;0;0;$
DAKR-3816X2.0-STEL;0;0;$
DAKR-3816X2.0-BRAS;0;0;$
DAKR-3820X2.5;0;0;$
DAKR-3820X2.5-STEL;0;0;$
DAKR-3820X2.5-BRAS;0;0;$
DAKR-3820X3.0;0;0;$
DAKR-3820X3.0-STEL;0;0;$
DAKR-3820X3.0-BRAS;0;0;$
DAKR-3830X4.0;0;0;$
DAKR-3830X4.0-STEL;0;0;$
DAKR-3830X4.0-BRAS;0;0;$
