code;value;count;currency
DBL-06L;31.63;0;$
DBL-06L-STEL;0;0;$
DBL-06L-BRAS;0;0;$
DBL-08L;32.45;51;$
DBL-08L-STEL;0;0;$
DBL-08L-BRAS;0;0;$
DBL-10L;36.58;0;$
DBL-10L-STEL;0;0;$
DBL-10L-BRAS;0;0;$
DBL-12L;44.28;0;$
DBL-12L-STEL;0;0;$
DBL-12L-BRAS;0;0;$
DBL-15L;68.2;0;$
DBL-15L-STEL;0;0;$
DBL-15L-BRAS;0;0;$
DBL-18L;70.95;5;$
DBL-18L-STEL;0;0;$
DBL-18L-BRAS;0;0;$
DBL-22L;167.48;20;$
DBL-22L-STEL;0;0;$
DBL-22L-BRAS;0;0;$
DBL-28L;0;0;$
DBL-28L-STEL;0;0;$
DBL-28L-BRAS;0;0;$
DBL-35L;0;0;$
DBL-35L-STEL;0;0;$
DBL-35L-BRAS;0;0;$
DBL-42L;0;0;$
DBL-42L-STEL;0;0;$
DBL-42L-BRAS;0;0;$
