code;value;count;currency
DCA-06L;6.6;0;$
DCA-06L-STEL;0;0;$
DCA-06L-BRAS;0;0;$
DCA-08L;7.43;0;$
DCA-08L-STEL;0;0;$
DCA-08L-BRAS;0;0;$
DCA-10L;8.53;0;$
DCA-10L-STEL;0;47;$
DCA-10L-BRAS;0;0;$
DCA-12L;8.8;0;$
DCA-12L-STEL;0;0;$
DCA-12L-BRAS;0;0;$
DCA-15L;15.68;0;$
DCA-15L-STEL;0;0;$
DCA-15L-BRAS;0;0;$
DCA-18L;18.43;0;$
DCA-18L-STEL;0;0;$
DCA-18L-BRAS;0;0;$
DCA-22L;31.63;1;$
DCA-22L-STEL;0;0;$
DCA-22L-BRAS;0;0;$
DCA-28L;64.08;0;$
DCA-28L-STEL;0;0;$
DCA-28L-BRAS;0;0;$
DCA-35L;85.8;0;$
DCA-35L-STEL;0;0;$
DCA-35L-BRAS;0;0;$
DCA-42L;117.98;0;$
DCA-42L-STEL;0;0;$
DCA-42L-BRAS;0;0;$
