code;value;count;currency
DCA-06S;6.6;0;$
DCA-06S-STEL;0;2;$
DCA-06S-BRAS;0;0;$
DCA-08S;13.2;0;$
DCA-08S-STEL;0;0;$
DCA-08S-BRAS;0;0;$
DCA-10S;14.03;0;$
DCA-10S-STEL;0;0;$
DCA-10S-BRAS;0;0;$
DCA-12S;14.58;0;$
DCA-12S-STEL;0;0;$
DCA-12S-BRAS;0;0;$
DCA-14S;0;0;$
DCA-14S-STEL;0;0;$
DCA-14S-BRAS;0;0;$
DCA-16S;20.08;0;$
DCA-16S-STEL;0;1;$
DCA-16S-BRAS;0;0;$
DCA-20S;29.43;0;$
DCA-20S-STEL;0;0;$
DCA-20S-BRAS;0;0;$
DCA-25S;60.23;0;$
DCA-25S-STEL;0;0;$
DCA-25S-BRAS;0;0;$
DCA-30S;87.73;0;$
DCA-30S-STEL;0;0;$
DCA-30S-BRAS;0;0;$
DCA-38S;121.28;0;$
DCA-38S-STEL;0;0;$
DCA-38S-BRAS;0;0;$
