code;value;count;currency
DFC-06S-02G;20.9;0;$
DFC-06S-02G-STEL;0;0;$
DFC-06S-02G-BRAS;0;0;$
DFC-08S-02G;25.03;0;$
DFC-08S-02G-STEL;0;0;$
DFC-08S-02G-BRAS;0;0;$
DFC-10S-03G;24.48;0;$
DFC-10S-03G-STEL;0;0;$
DFC-10S-03G-BRAS;0;0;$
DFC-12S-03G;27.78;0;$
DFC-12S-03G-STEL;0;0;$
DFC-12S-03G-BRAS;0;0;$
DFC-14S-04G;31.63;0;$
DFC-14S-04G-STEL;0;0;$
DFC-14S-04G-BRAS;0;0;$
DFC-16S-04G;25.85;0;$
DFC-16S-04G-STEL;0;0;$
DFC-16S-04G-BRAS;0;0;$
DFC-20S-06G;54.45;0;$
DFC-20S-06G-STEL;0;0;$
DFC-20S-06G-BRAS;0;0;$
DFC-25S-08G;115.23;0;$
DFC-25S-08G-STEL;0;0;$
DFC-25S-08G-BRAS;0;0;$
DFC-30S-10G;133.1;0;$
DFC-30S-10G-STEL;0;0;$
DFC-30S-10G-BRAS;0;0;$
DFC-38S-12G;158.68;0;$
DFC-38S-12G-STEL;0;0;$
DFC-38S-12G-BRAS;0;0;$
