code;value;count;currency
DLA-06S;20.63;0;$
DLA-06S-STEL;0;0;$
DLA-06S-BRAS;0;0;$
DLA-08S;23.93;0;$
DLA-08S-STEL;0;0;$
DLA-08S-BRAS;0;0;$
DLA-10S;31.35;0;$
DLA-10S-STEL;0;0;$
DLA-10S-BRAS;0;0;$
DLA-12S;38.23;0;$
DLA-12S-STEL;0;0;$
DLA-12S-BRAS;0;0;$
DLA-14S;39.33;0;$
DLA-14S-STEL;0;0;$
DLA-14S-BRAS;0;0;$
DLA-16S;53.9;0;$
DLA-16S-STEL;0;0;$
DLA-16S-BRAS;0;0;$
DLA-20S;102.03;0;$
DLA-20S-STEL;0;0;$
DLA-20S-BRAS;0;0;$
DLA-25S;180.68;0;$
DLA-25S-STEL;0;0;$
DLA-25S-BRAS;0;0;$
DLA-30S;173.53;0;$
DLA-30S-STEL;0;0;$
DLA-30S-BRAS;0;0;$
DLA-38S;261.8;0;$
DLA-38S-STEL;0;0;$
DLA-38S-BRAS;0;0;$
