code;value;count;currency
DMC-06L-01G;7.98;20;$
DMC-06L-01G-STEL;0;0;$
DMC-06L-01G-BRAS;0;0;$
DMC-06L-02G;9.63;0;$
DMC-06L-02G-STEL;0;0;$
DMC-06L-02G-BRAS;0;0;$
DMC-06L-03G;9.63;0;$
DMC-06L-03G-STEL;0;0;$
DMC-06L-03G-BRAS;0;0;$
DMC-08L-01G;8.8;770;$
DMC-08L-01G-STEL;0;1800;$
DMC-08L-01G-BRAS;0;0;$
DMC-08L-02G;9.9;214;$
DMC-08L-02G-STEL;0;61;$
DMC-08L-02G-BRAS;0;100;$
DMC-08L-03G;10.73;1;$
DMC-08L-03G-STEL;0;1;$
DMC-08L-03G-BRAS;0;0;$
DMC-08L-04G;14.58;0;$
DMC-08L-04G-STEL;0;0;$
DMC-08L-04G-BRAS;0;0;$
DMC-10L-02G;9.9;140;$
DMC-10L-02G-STEL;0;348;$
DMC-10L-02G-BRAS;0;0;$
DMC-10L-03G;11.28;23;$
DMC-10L-03G-STEL;0;0;$
DMC-10L-03G-BRAS;0;0;$
DMC-10L-04G;16.23;4;$
DMC-10L-04G-STEL;0;0;$
DMC-10L-04G-BRAS;0;0;$
DMC-12L-02G;10.73;0;$
DMC-12L-02G-STEL;0;0;$
DMC-12L-02G-BRAS;0;0;$
DMC-12L-03G;12.38;0;$
DMC-12L-03G-STEL;0;0;$
DMC-12L-03G-BRAS;0;0;$
DMC-12L-04G;16.23;14;$
DMC-12L-04G-STEL;0;0;$
DMC-12L-04G-BRAS;0;0;$
DMC-15L-03G;17.33;0;$
DMC-15L-03G-STEL;0;0;$
DMC-15L-03G-BRAS;0;0;$
DMC-15L-04G;20.08;0;$
DMC-15L-04G-STEL;0;0;$
DMC-15L-04G-BRAS;0;0;$
DMC-18L-04G;23.65;21;$
DMC-18L-04G-STEL;0;0;$
DMC-18L-04G-BRAS;0;0;$
DMC-22L-06G;32.45;150;$
DMC-22L-06G-STEL;0;0;$
DMC-22L-06G-BRAS;0;0;$
DMC-28L-08G;51.7;0;$
DMC-28L-08G-STEL;0;0;$
DMC-28L-08G-BRAS;0;0;$
DMC-35L-10G;61.33;0;$
DMC-35L-10G-STEL;0;0;$
DMC-35L-10G-BRAS;0;0;$
DMC-42L-12G;110.28;0;$
DMC-42L-12G-STEL;0;0;$
DMC-42L-12G-BRAS;0;0;$
