code;value;count;currency
DMC-06S-02N;14.58;4;$
DMC-06S-02N-STEL;0;3;$
DMC-06S-02N-BRAS;0;0;$
DMC-06S-03N;0;19;$
DMC-06S-03N-STEL;0;0;$
DMC-06S-03N-BRAS;0;0;$
DMC-06S-04N;18.7;58;$
DMC-06S-04N-STEL;0;0;$
DMC-06S-04N-BRAS;0;0;$
DMC-08S-02N;12.1;0;$
DMC-08S-02N-STEL;0;0;$
DMC-08S-02N-BRAS;0;0;$
DMC-08S-03N;0;9;$
DMC-08S-03N-STEL;0;0;$
DMC-08S-03N-BRAS;0;0;$
DMC-08S-04N;14.03;60;$
DMC-08S-04N-STEL;0;0;$
DMC-08S-04N-BRAS;0;0;$
DMC-10S-02N;18.43;7;$
DMC-10S-02N-STEL;0;0;$
DMC-10S-02N-BRAS;0;2;$
DMC-10S-03N;18.7;0;$
DMC-10S-03N-STEL;0;0;$
DMC-10S-03N-BRAS;0;0;$
DMC-10S-04N;0;37;$
DMC-10S-04N-STEL;0;0;$
DMC-10S-04N-BRAS;0;0;$
DMC-12S-02N;22.83;20;$
DMC-12S-02N-STEL;0;185;$
DMC-12S-02N-BRAS;0;0;$
DMC-12S-03N;22.83;0;$
DMC-12S-03N-STEL;0;4;$
DMC-12S-03N-BRAS;0;0;$
DMC-12S-04N;23.93;28;$
DMC-12S-04N-STEL;0;0;$
DMC-12S-04N-BRAS;0;0;$
DMC-14S-02N;21.73;51;$
DMC-14S-02N-STEL;0;30;$
DMC-14S-02N-BRAS;0;0;$
DMC-14S-03N;26.13;12;$
DMC-14S-03N-STEL;0;0;$
DMC-14S-03N-BRAS;0;0;$
DMC-14S-04N;26.13;16;$
DMC-14S-04N-STEL;0;0;$
DMC-14S-04N-BRAS;0;0;$
DMC-16S-04N;23.65;0;$
DMC-16S-04N-STEL;0;0;$
DMC-16S-04N-BRAS;0;0;$
DMC-20S-06N;46.2;9;$
DMC-20S-06N-STEL;0;0;$
DMC-20S-06N-BRAS;0;0;$
DMC-25S-08N;72.88;0;$
DMC-25S-08N-STEL;0;0;$
DMC-25S-08N-BRAS;0;0;$
DMC-30S-06N;62.7;0;$
DMC-30S-06N-STEL;0;0;$
DMC-30S-06N-BRAS;0;0;$
DMC-30S-08N;93.23;0;$
DMC-30S-08N-STEL;0;0;$
DMC-30S-08N-BRAS;0;0;$
DMC-30S-10N;92.95;0;$
DMC-30S-10N-STEL;0;0;$
DMC-30S-10N-BRAS;0;0;$
DMC-38S-12N;152.9;0;$
DMC-38S-12N-STEL;0;0;$
DMC-38S-12N-BRAS;0;0;$
