code;value;count;currency
DN-06L;2.97;1501;$
DN-06L-STEL;0;85764;$
DN-06L-BRAS;0;0;$
DN-08L;2.83;254;$
DN-08L-STEL;0;0;$
DN-08L-BRAS;0;0;$
DN-10L;3.27;72;$
DN-10L-STEL;0;7;$
DN-10L-BRAS;0;0;$
DN-12L;3.85;182;$
DN-12L-STEL;0;120;$
DN-12L-BRAS;0;0;$
DN-15L;7.18;0;$
DN-15L-STEL;0;0;$
DN-15L-BRAS;0;0;$
DN-18L;8.77;230;$
DN-18L-STEL;0;10;$
DN-18L-BRAS;0;0;$
DN-22L;12.79;2;$
DN-22L-STEL;0;0;$
DN-22L-BRAS;0;0;$
DN-28L;15.76;19;$
DN-28L-STEL;0;0;$
DN-28L-BRAS;0;0;$
DN-35L;27.64;8;$
DN-35L-STEL;0;1;$
DN-35L-BRAS;0;0;$
DN-42L;42.52;0;$
DN-42L-STEL;0;0;$
DN-42L-BRAS;0;0;$
