code;value;count;currency
DPS2200X-10R-A-1-F-1-A;1000;0;$
DPS2200X-10R-A-1-F-1-B;1000;0;$
DPS2200X-10R-A-1-F-1-C;1000;0;$
DPS2200X-10R-A-2-F-1-A;1000;0;$
DPS2200X-10R-A-2-F-1-B;1000;0;$
DPS2200X-10R-A-2-F-1-C;1000;0;$
DPS2200X-20R-A-1-F-1-A;1000;0;$
DPS2200X-20R-A-1-F-1-B;1000;0;$
DPS2200X-20R-A-1-F-1-C;1000;0;$
DPS2200X-20R-A-2-F-1-A;1000;0;$
DPS2200X-20R-A-2-F-1-B;1000;0;$
DPS2200X-20R-A-2-F-1-C;1000;0;$
DPS2200X-10R-A-M-F-1-A;1000;0;$
DPS2200X-10R-A-M-F-1-B;1000;0;$
DPS2200X-10R-A-M-F-1-C;1000;0;$
DPS2200X-20R-A-M-F-1-A;1000;0;$
DPS2200X-20R-A-M-F-1-B;1000;0;$
DPS2200X-20R-A-M-F-1-C;1000;0;$
