code;value;count;currency
DS-6;0;0;$
DS-6-STEL;0;0;$
DS-6-BRAS;0;0;$
DS-8;0;0;$
DS-8-STEL;0;0;$
DS-8-BRAS;0;0;$
DS-10;1.95;241;$
DS-10-STEL;0;1;$
DS-10-BRAS;0;56;$
DS-12;2.04;7709;$
DS-12-STEL;0;200;$
DS-12-BRAS;0;0;$
DS-14;2.23;0;$
DS-14-STEL;0;0;$
DS-14-BRAS;0;0;$
DS-15;2.34;0;$
DS-15-STEL;0;0;$
DS-15-BRAS;0;0;$
DS-16;2.75;29;$
DS-16-STEL;0;60;$
DS-16-BRAS;0;0;$
DS-18;3.16;250;$
DS-18-STEL;0;63;$
DS-18-BRAS;0;0;$
DS-20;3.99;2;$
DS-20-STEL;0;0;$
DS-20-BRAS;0;0;$
DS-22;3.6;0;$
DS-22-STEL;0;0;$
DS-22-BRAS;0;0;$
DS-25;4.79;0;$
DS-25-STEL;0;0;$
DS-25-BRAS;0;0;$
DS-28;5.5;0;$
DS-28-STEL;0;0;$
DS-28-BRAS;0;0;$
DS-30;7.7;0;$
DS-30-STEL;0;0;$
DS-30-BRAS;0;0;$
DS-35;7.67;0;$
DS-35-STEL;0;1;$
DS-35-BRAS;0;0;$
DS-38;9.49;24;$
DS-38-STEL;0;0;$
DS-38-BRAS;0;0;$
DS-42;11.66;0;$
DS-42-STEL;0;0;$
DS-42-BRAS;0;0;$
DS-06L;0;0;$
DS-06L-STEL;0;0;$
DS-06L-BRAS;0;0;$
DS-08L;0;0;$
DS-08L-STEL;0;0;$
DS-08L-BRAS;0;0;$
DS-10L;0;0;$
DS-10L-STEL;0;0;$
DS-10L-BRAS;0;0;$
DS-12L;0;0;$
DS-12L-STEL;0;0;$
DS-12L-BRAS;0;0;$
DS-15L;0;0;$
DS-15L-STEL;0;0;$
DS-15L-BRAS;0;0;$
DS-18L;0;0;$
DS-18L-STEL;0;0;$
DS-18L-BRAS;0;0;$
DS-22L;2.26;0;$
DS-22L-STEL;0;0;$
DS-22L-BRAS;0;0;$
DS-28L;8.88;2;$
DS-28L-STEL;0;0;$
DS-28L-BRAS;0;0;$
DS-35L;5.36;0;$
DS-35L-STEL;0;1;$
DS-35L-BRAS;0;0;$
DS-42L;6.08;0;$
DS-42L-STEL;0;0;$
DS-42L-BRAS;0;0;$
DS-06S;0;0;$
DS-06S-STEL;0;0;$
DS-06S-BRAS;0;0;$
DS-08S;0;0;$
DS-08S-STEL;0;0;$
DS-08S-BRAS;0;0;$
DS-10S;0;0;$
DS-10S-STEL;0;0;$
DS-10S-BRAS;0;0;$
DS-12S;0;0;$
DS-12S-STEL;0;0;$
DS-12S-BRAS;0;0;$
DS-14S;0;0;$
DS-14S-STEL;0;0;$
DS-14S-BRAS;0;0;$
DS-16S;0;0;$
DS-16S-STEL;0;0;$
DS-16S-BRAS;0;0;$
DS-20S;2.17;0;$
DS-20S-STEL;0;0;$
DS-20S-BRAS;0;0;$
DS-25S;3.38;0;$
DS-25S-STEL;0;0;$
DS-25S-BRAS;0;0;$
DS-30S;4.95;0;$
DS-30S-STEL;0;0;$
DS-30S-BRAS;0;0;$
DS-38S;0;0;$
DS-38S-STEL;0;0;$
DS-38S-BRAS;0;0;$
