code;value;count;currency
DVSTI-M10;0;30;$
DVSTI-M10-STEL;0;0;$
DVSTI-M10-BRAS;0;0;$
DVSTI-M12;0;0;$
DVSTI-M12-STEL;0;0;$
DVSTI-M12-BRAS;0;0;$
DVSTI-M14;0;0;$
DVSTI-M14-STEL;0;0;$
DVSTI-M14-BRAS;0;0;$
DVSTI-M16;0;0;$
DVSTI-M16-STEL;0;0;$
DVSTI-M16-BRAS;0;0;$
DVSTI-M18;0;0;$
DVSTI-M18-STEL;0;0;$
DVSTI-M18-BRAS;0;0;$
DVSTI-M22;0;0;$
DVSTI-M22-STEL;0;0;$
DVSTI-M22-BRAS;0;0;$
DVSTI-M26;0;0;$
DVSTI-M26-STEL;0;0;$
DVSTI-M26-BRAS;0;0;$
DVSTI-M27;0;0;$
DVSTI-M27-STEL;0;0;$
DVSTI-M27-BRAS;0;0;$
DVSTI-M33;0;0;$
DVSTI-M33-STEL;0;0;$
DVSTI-M33-BRAS;0;0;$
DVSTI-M42;0;0;$
DVSTI-M42-STEL;0;0;$
DVSTI-M42-BRAS;0;0;$
