code;value;count;currency
EB-M10X1.5EMV-6.5;0;0;$
EB-M12 X 1.5EMV-6.5;0;0;$
EB-M14X1.5EMV-6.5;0;0;$
EB-M14X1.5EMV-8;0;0;$
EB-M16 X 1.5EMV-8;0;0;$
EB-M16 X 1.5EMV-10;0;0;$
EB-M18 X 1.5EMV-10;0;0;$
EB-M18 X 1.5EMV-12;0;0;$
EB-M20x1,5EMV-12;3.8;0;$
EB-M20x1,5EMV-14;3.9;83;$
EB-M22X1.5EMV-12;0;0;$
EB-M22 X 1.5EMV-14;0;0;$
EB-M24X1.5EMV-14;0;0;$
EB-M25 X 1.5EMV-14;0;0;$
EB-M25 X 1.5EMV-17;0;0;$
EB-M25x1,5EMV-18;6.5;188;$
EB-M27X1.5EMV-17;0;0;$
EB-M27X2.0EMV-17;0;0;$
EB-M27X1.5EMV-18;0;0;$
EB-M27X2.0EMV-18;0;0;$
EB-M30X2.0EMV-18;0;0;$
EB-M30 X 2.0EMV-21;0;0;$
EB-M30 X 2.0EMV-25;0;0;$
EB-M32 X 1.5EMV-18;0;0;$
EB-M32x1,5EMV-21;16;201;$
EB-M32x1,5EMV-25;16.1;198;$
EB-M33X2.0EMV-18;0;0;$
EB-M33 X 2.0EMV-21;0;0;$
EB-M33 X 2.0EMV-25;0;0;$
EB-M36 X 2.0EMV-25;0;0;$
EB-M36 X 2.0EMV-28;0;0;$
EB-M40 X 1.5EMV-25;0;0;$
EB-M40 X 1.5EMV-28;0;0;$
EB-M40x1,5EMV-32;30.2;196;$
EB-M42 X 2.0EMV-32;0;0;$
EB-M48 X 2.0EMV-32;0;0;$
EB-M48 X 2.0EMV-38;0;0;$
EB-M50 X 1.5EMV-32;0;0;$
EB-M50 X 1.5EMV-38;0;0;$
EB-M54 X 2.0EMV-38;0;0;$
EB-M50x1,5EMV-38;41.8;200;$
EB-M60 X 2.0EMV-44;0;0;$
EB-M63 X 1.5EMV-44;0;0;$
EB-M64 X 2.0EMV-44;0;0;$
EB-M72 X 2.0EMV-55;0;0;$
EB-M75 X 1.5EMV-55;0;0;$
EB-M80 X 2.0EMV-60;0;0;$
EB-M88X 2.0EMV-70;0;0;$
EB-M100 X 2.0EMV-80;0;0;$
EB-M110 X 2.0EMV-90;0;0;$
EB-M125 X 2.0EMV-100;0;0;$
