code;value;count;currency
ECGY2?10.0/13.0B;0;0;$
ECGY2?13.0/15.8B;0;0;$
ECGY2?15.8/21.2B;0;0;$
ECGY2?15.8/28.5B;0;0;$
ECGY2?21.2/28.5B;0;0;$
ECGY2?28.5/34.5B;0;0;$
ECGY2?34.5/42.5B;0;0;$
ECGY2?42.5/54.5;0;0;$
ECGY2?10.0/13.0NB;0;0;$
ECGY2?13.0/15.8NB;0;0;$
ECGY2x15,8/21,2NB;8.9;59;$
ECGY2x15,8/28,5NB;23.8;50;$
ECGY2x21,2/28,5NB;10.5;50;$
ECGY2?28.5/34.5NB;0;0;$
ECGY2?34.5/42.5NB;0;0;$
ECGY2?42.5/54.5NB;0;0;$
ECGY3?10.0NB;0;0;$
ECGY3?13.0NB;0;0;$
ECGY3?15.8NB;0;0;$
ECGY3?18.5NB;0;0;$
ECGY3?21.2NB;0;0;$
