code;value;count;currency
FI1-F-2N-WF;62.76;0;$
FI2-F-4N-WF;57.61;0;$
FI3-F-6N-WF;103.39;0;$
FI4-F-8N-WF;126.63;0;$
FI1-M-2N-WF;0;0;$
FI1-M-4N-WF;0;0;$
FI2-M-4N-WF;64.57;0;$
FI2-M-6N-WF;0;0;$
FI3-M-6N-WF;0;0;$
FI3-M-8N-WF;0;0;$
FI4-M-8N-WF;0;0;$
FI1-H-2T-WF;53.85;0;$
FI2-H-4T-WF;63.31;0;$
FI2-H-6T-WF;0;0;$
FI3-H-6T-WF;0;0;$
FI3-H-8T-WF;0;0;$
FI1-H-3M-WF;53.85;0;$
FI2-H-8M-WF;76.25;0;$
FI3-H-10M-WF;106.78;0;$
FI3-H-12M-WF;110.49;0;$
FI4-H-12M-WF;110.49;0;$
FI4-H-8T-WF;0;0;$
FI2-H-6M-WF;59.7;0;$
FI1-F-2N-WF-BRAS;0;0;$
FI2-F-4N-WF-BRAS;0;0;$
FI3-F-6N-WF-BRAS;0;0;$
FI4-F-8N-WF-BRAS;0;0;$
FI1-M-2N-WF-BRAS;0;0;$
FI1-M-4N-WF-BRAS;0;0;$
FI2-M-6N-WF-BRAS;0;0;$
FI3-M-8N-WF-BRAS;0;0;$
FI1-H-2T-WF-BRAS;0;0;$
FI2-H-4T-WF-BRAS;0;0;$
FI2-H-6T-WF-BRAS;0;0;$
FI3-H-8T-WF-BRAS;0;0;$
FI1-H-3M-WF-BRAS;0;0;$
FI2-H-8M-WF-BRAS;0;0;$
FI3-H-10M-WF-BRAS;0;0;$
FI3-H-12M-WF-BRAS;0;0;$
FI4-H-12M-WF-BRAS;0;0;$
FI4-H-8T-WF-BRAS;0;0;$
FI2-H-6M-WF-BRAS;0;0;$
FI1-F-2N-05;69.7;0;$
FI1-H-2T-05;60.85;0;$
FI1-H-3M-05;0;0;$
FI1-M-2N-05;60.85;0;$
FI1-M-4N-05;0;0;$
FI1-F-2N-2;69.7;0;$
FI1-H-2T-2;60.85;0;$
FI1-H-3M-2;0;0;$
FI1-M-2N-2;60.85;0;$
FI1-M-4N-2;0;0;$
FI1-F-2N-7;69.7;0;$
FI1-H-2T-7;60.85;0;$
FI1-H-3M-7;0;0;$
FI1-M-2N-7;60.85;0;$
FI1-M-4N-7;0;0;$
FI1-F-2N-15;69.7;0;$
FI1-H-2T-15;60.85;0;$
FI1-H-3M-15;60.81;0;$
FI1-M-2N-15;60.85;0;$
FI1-M-4N-15;0;0;$
FI1-F-2N-60;69.7;0;$
FI1-H-2T-60;60.85;0;$
FI1-H-3M-60;0;0;$
FI1-M-2N-60;60.85;0;$
FI1-M-4N-60;0;0;$
FI1-F-2N-90;69.7;0;$
FI1-H-2T-90;60.85;0;$
FI1-H-3M-90;0;0;$
FI1-M-2N-90;60.85;0;$
FI1-M-4N-90;0;0;$
FI2-F-4N-05;64.52;0;$
FI2-H-4T-05;64.52;0;$
FI2-H-6M-05;0;0;$
FI2-H-6T-05;0;0;$
FI2-H-8M-05;0;0;$
FI2-M-6N-05;0;0;$
FI2-F-4N-2;64.52;0;$
FI2-H-4T-2;64.52;0;$
FI2-H-6M-2;0;0;$
FI2-H-6T-2;0;0;$
FI2-H-8M-2;0;0;$
FI2-M-6N-2;0;0;$
FI2-F-4N-7;64.52;0;$
FI2-H-4T-7;64.52;0;$
FI2-H-6M-7;0;0;$
FI2-H-6T-7;0;0;$
