code;value;count;currency
G63-A-4G-80D-1bar;220;0;$
G63-A-4G-80D-1.6bar;220;0;$
G63-A-4G-80D-2.5bar;220;0;$
G63-A-4G-80D-4bar;220;0;$
G63-A-4G-80D-6bar;220;0;$
G63-A-4G-80D-10bar;220;0;$
G63-A-4N-80D-1bar;220;0;$
G63-A-4N-80D-1.6bar;220;0;$
G63-A-4N-80D-2.5bar;220;0;$
G63-A-4N-80D-4bar;220;0;$
G63-A-4N-80D-6bar;220;0;$
G63-A-4N-80D-10bar;220;0;$
G63-A-4G-80D-100kPa;220;0;$
G63-A-4G-80D-160kPa;220;0;$
G63-A-4G-80D-250kPa;220;0;$
G63-A-4G-80D-400kPa;220;0;$
G63-A-4G-80D-600kPa;220;0;$
G63-A-4G-80D-1MPa;220;0;$
G63-A-4N-80D-100kPa;220;0;$
G63-A-4N-80D-160kPa;220;0;$
G63-A-4N-80D-250kPa;220;0;$
G63-A-4N-80D-400kPa;220;0;$
G63-A-4N-80D-600kPa;220;0;$
G63-A-4N-80D-1MPa;220;0;$
G63-A-12M-80D-1bar;220;0;$
G63-A-12M-80D-1.6bar;220;0;$
G63-A-12M-80D-2.5bar;220;0;$
G63-A-12M-80D-4bar;220;0;$
G63-A-12M-80D-6bar;220;0;$
G63-A-12M-80D-10bar;220;0;$
G63-A-12M-80D-100kPa;220;0;$
G63-A-12M-80D-160kPa;220;0;$
G63-A-12M-80D-250kPa;220;0;$
G63-A-12M-80D-400kPa;220;0;$
G63-A-12M-80D-600kPa;220;0;$
G63-A-12M-80D-1MPa;220;0;$
G63-A-4G-80D-1bar-VE;225;0;$
G63-A-4G-80D-1.6bar-VE;225;0;$
G63-A-4G-80D-2.5bar-VE;225;0;$
G63-A-4G-80D-4bar-VE;225;0;$
G63-A-4G-80D-6bar-VE;225;0;$
G63-A-4G-80D-10bar-VE;225;0;$
G63-A-4N-80D-1bar-VE;225;0;$
G63-A-4N-80D-1.6bar-VE;225;0;$
G63-A-4N-80D-2.5bar-VE;225;0;$
G63-A-4N-80D-4bar-VE;225;0;$
G63-A-4N-80D-6bar-VE;225;0;$
G63-A-4N-80D-10bar-VE;225;0;$
G63-A-4G-80D-100kPa-VE;225;0;$
G63-A-4G-80D-160kPa-VE;225;0;$
G63-A-4G-80D-250kPa-VE;225;0;$
G63-A-4G-80D-400kPa-VE;225;0;$
G63-A-4G-80D-600kPa-VE;225;0;$
G63-A-4G-80D-1MPa-VE;225;0;$
G63-A-4N-80D-100kPa-VE;225;0;$
G63-A-4N-80D-160kPa-VE;225;0;$
G63-A-4N-80D-250kPa-VE;225;0;$
G63-A-4N-80D-400kPa-VE;225;0;$
G63-A-4N-80D-600kPa-VE;225;0;$
G63-A-4N-80D-1MPa-VE;225;0;$
G63-A-12M-80D-1bar-VE;225;0;$
G63-A-12M-80D-1.6bar-VE;225;0;$
G63-A-12M-80D-2.5bar-VE;225;0;$
G63-A-12M-80D-4bar-VE;225;0;$
G63-A-12M-80D-6bar-VE;225;0;$
G63-A-12M-80D-10bar-VE;225;0;$
G63-A-12M-80D-100kPa-VE;225;0;$
G63-A-12M-80D-160kPa-VE;225;0;$
G63-A-12M-80D-250kPa-VE;225;0;$
G63-A-12M-80D-400kPa-VE;225;0;$
G63-A-12M-80D-600kPa-VE;225;0;$
G63-A-12M-80D-1MPa-VE;225;0;$
