code;value;count;currency
H-SNR-4-2G;6.54;11;$
H-SNR-4-2G-STEL;0;0;$
H-SNR-4-2G-BRAS;0;0;$
H-SNR-6-2G;0;10;$
H-SNR-6-2G-STEL;0;0;$
H-SNR-6-2G-BRAS;0;0;$
H-SNR-6-4G;9.32;54;$
H-SNR-6-4G-STEL;0;0;$
H-SNR-6-4G-BRAS;0;0;$
H-SNR-8-4G;12.86;47;$
H-SNR-8-4G-STEL;0;0;$
H-SNR-8-4G-BRAS;0;0;$
H-SNR-12-8G;18.23;13;$
H-SNR-12-8G-STEL;0;0;$
H-SNR-12-8G-BRAS;0;0;$
H-SNR-16-12G;30.61;0;$
H-SNR-16-12G-STEL;0;0;$
H-SNR-16-12G-BRAS;0;0;$
H-SNR-8N-4G;12.52;1;$
H-SNR-8N-4G-STEL;0;0;$
H-SNR-8N-4G-BRAS;0;0;$
H-SNR-8N-6G;13.86;0;$
H-SNR-8N-6G-STEL;0;0;$
H-SNR-8N-6G-BRAS;0;0;$
H-SNR-12N-8G;18.2;0;$
H-SNR-12N-8G-STEL;0;0;$
H-SNR-12N-8G-BRAS;0;0;$
H-SNR-4N-2G;0;10;$
H-SNR-4N-2G-STEL;0;0;$
H-SNR-4N-2G-BRAS;0;0;$
H-SNR-M12x1.5P-4N;0;0;$
H-SNR-M12x1.5P-4N-STEL;0;0;$
H-SNR-M12x1.5P-4N-BRAS;0;0;$
H-SNR-M16x1.5P-4N;0;0;$
H-SNR-M16x1.5P-4N-STEL;0;0;$
H-SNR-M16x1.5P-4N-BRAS;0;0;$
H-SNR-M20x1.5P-4N;0;0;$
H-SNR-M20x1.5P-4N-STEL;0;0;$
H-SNR-M20x1.5P-4N-BRAS;0;0;$
H-SNR-M20-4G;0;0;$
H-SNR-M20-4G-STEL;0;0;$
H-SNR-M20-4G-BRAS;0;0;$
