code;value;count;currency
LT204-1-C-1-1;371.5;0;$
LT204-1-C-2-1;344;0;$
LT204-1-D-1-1;432;0;$
LT204-1-D-2-1;379.75;0;$
LT204-1-G10-1-1;373.75;0;$
LT204-1-G10-2-1;353.5;0;$
LT204-1-G16-1-1;382;0;$
LT204-1-G16-2-1;359;0;$
LT204-1-G25-1-1;390.5;0;$
LT204-1-G25-2-1;364.75;0;$
LT204-2-C-1-1;410;0;$
LT204-2-C-2-1;371.5;0;$
LT204-2-D-1-1;462.25;0;$
LT204-2-D-2-1;407.25;0;$
LT204-2-G10-1-1;386.75;0;$
LT204-2-G10-2-1;360.75;0;$
LT204-2-G16-1-1;406.5;0;$
LT204-2-G16-2-1;373.75;0;$
LT204-2-G25-1-1;416;0;$
LT204-2-G25-2-1;380.25;0;$
LT204-3-C-1-1;506.25;0;$
LT204-3-C-2-1;432;0;$
LT204-3-D-1-1;624.5;0;$
LT204-3-D-2-1;514.5;0;$
LT204-3-G10-1-1;426;0;$
LT204-3-G10-2-1;386.25;0;$
LT204-3-G16-1-1;452.25;0;$
LT204-3-G16-2-1;404;0;$
LT204-3-G25-1-1;464.25;0;$
LT204-3-G25-2-1;411.75;0;$
LT204-4-C-1-1;588.75;0;$
LT204-4-C-2-1;487;0;$
LT204-4-D-1-1;814.25;0;$
LT204-4-D-2-1;638.25;0;$
LT204-4-G10-1-1;460.5;0;$
LT204-4-G10-2-1;410;0;$
LT204-4-G16-1-1;490.25;0;$
LT204-4-G16-2-1;429.75;0;$
LT204-4-G25-1-1;538;0;$
LT204-4-G25-2-1;464.75;0;$
