code;value;count;currency
PRU100-1-A-1-1-A-A;323.61;0;$
PRU100-1-A-1-1-C-A-LT;339.02;0;$
PRU100-1-A-1-1-A-B;323.61;0;$
PRU100-1-A-1-1-C-B-LT;339.02;0;$
PRU100-1-A-1-1-A-C;323.61;0;$
PRU100-1-A-1-1-C-C-LT;339.02;0;$
PRU100-1-A-1-1-A-D;352.59;0;$
PRU100-1-A-1-1-C-D-LT;369.38;0;$
PRU100-1-A-1-1-A-E;352.59;0;$
PRU100-1-A-1-1-C-E-LT;369.38;0;$
PRU100-1-A-1-2-A-A;323.61;0;$
PRU100-1-A-1-2-C-A-LT;339.02;0;$
PRU100-1-A-1-2-A-B;323.61;0;$
PRU100-1-A-1-2-C-B-LT;339.02;0;$
PRU100-1-A-1-2-A-C;323.61;0;$
PRU100-1-A-1-2-C-C-LT;339.02;0;$
PRU100-1-A-1-2-A-D;352.59;0;$
PRU100-1-A-1-2-C-D-LT;369.38;0;$
PRU100-1-A-1-2-A-E;352.59;0;$
PRU100-1-A-1-2-C-E-LT;369.38;0;$
PRU100-1-A-1-3-A-A;323.4;0;$
PRU100-1-A-1-3-C-A-LT;369.38;0;$
PRU100-1-A-1-3-A-B;323.4;0;$
PRU100-1-A-1-3-C-B-LT;369.38;0;$
PRU100-1-A-1-3-A-C;323.4;0;$
PRU100-1-A-1-3-C-C-LT;369.38;0;$
PRU100-1-A-1-3-A-D;323.4;0;$
PRU100-1-A-1-3-C-D-LT;369.38;0;$
PRU100-1-A-1-3-A-E;323.4;0;$
PRU100-1-A-1-3-C-E-LT;369.38;0;$
PRU100-1-A-1-4-A-A;323.4;0;$
PRU100-1-A-1-4-C-A-LT;369.38;0;$
PRU100-1-A-1-4-A-B;323.4;0;$
PRU100-1-A-1-4-C-B-LT;369.38;0;$
PRU100-1-A-1-4-A-C;323.4;0;$
PRU100-1-A-1-4-C-C-LT;369.38;0;$
PRU100-1-A-1-4-A-D;323.4;0;$
PRU100-1-A-1-4-C-D-LT;369.38;0;$
PRU100-1-A-1-4-A-E;323.4;0;$
PRU100-1-A-1-4-C-E-LT;369.38;0;$
PRU100-1-A-1-5-A-A;323.4;0;$
PRU100-1-A-1-5-C-A-LT;369.38;0;$
PRU100-1-A-1-5-A-B;323.4;0;$
PRU100-1-A-1-5-C-B-LT;369.38;0;$
PRU100-1-A-1-5-A-C;323.4;0;$
PRU100-1-A-1-5-C-C-LT;369.38;0;$
PRU100-1-A-1-5-A-D;323.4;0;$
PRU100-1-A-1-5-C-D-LT;369.38;0;$
PRU100-1-A-1-5-A-E;323.4;0;$
PRU100-1-A-1-5-C-E-LT;369.38;0;$
PRU100-1-A-1-6-A-A;323.4;0;$
PRU100-1-A-1-6-C-A-LT;369.38;0;$
PRU100-1-A-1-6-A-B;323.4;0;$
PRU100-1-A-1-6-C-B-LT;369.38;0;$
PRU100-1-A-1-6-A-C;323.4;0;$
PRU100-1-A-1-6-C-C-LT;369.38;0;$
PRU100-1-A-1-6-A-D;323.4;0;$
PRU100-1-A-1-6-C-D-LT;369.38;0;$
PRU100-1-A-1-6-A-E;323.4;0;$
PRU100-1-A-1-6-C-E-LT;369.38;0;$
PRU100-1-A-2-1-B-A;323.61;0;$
PRU100-1-A-2-1-C-A-LT;339.02;0;$
PRU100-1-A-2-1-B-B;323.61;0;$
PRU100-1-A-2-1-C-B-LT;339.02;0;$
PRU100-1-A-2-1-B-C;323.61;0;$
PRU100-1-A-2-1-C-C-LT;339.02;0;$
PRU100-1-A-2-1-B-D;352.59;0;$
PRU100-1-A-2-1-C-D-LT;369.38;0;$
PRU100-1-A-2-1-B-E;352.59;0;$
PRU100-1-A-2-1-C-E-LT;369.38;0;$
PRU100-1-A-2-2-B-A;323.61;0;$
PRU100-1-A-2-2-C-A-LT;339.02;0;$
PRU100-1-A-2-2-B-B;323.61;0;$
PRU100-1-A-2-2-C-B-LT;339.02;0;$
PRU100-1-A-2-2-B-C;323.61;0;$
PRU100-1-A-2-2-C-C-LT;339.02;0;$
PRU100-1-A-2-2-B-D;352.59;0;$
PRU100-1-A-2-2-C-D-LT;369.38;0;$
PRU100-1-A-2-2-B-E;352.59;0;$
PRU100-1-A-2-2-C-E-LT;369.38;0;$
PRU100-1-A-2-3-B-A;323.4;0;$
PRU100-1-A-2-3-C-A-LT;369.38;0;$
PRU100-1-A-2-3-B-B;323.4;0;$
PRU100-1-A-2-3-C-B-LT;369.38;0;$
PRU100-1-A-2-3-B-C;323.4;0;$
PRU100-1-A-2-3-C-C-LT;369.38;0;$
PRU100-1-A-2-3-B-D;323.4;0;$
PRU100-1-A-2-3-C-D-LT;369.38;0;$
PRU100-1-A-2-3-B-E;323.4;0;$
PRU100-1-A-2-3-C-E-LT;369.38;0;$
PRU100-1-A-2-4-B-A;323.4;0;$
PRU100-1-A-2-4-C-A-LT;369.38;0;$
PRU100-1-A-2-4-B-B;323.4;0;$
PRU100-1-A-2-4-C-B-LT;369.38;0;$
PRU100-1-A-2-4-B-C;323.4;0;$
PRU100-1-A-2-4-C-C-LT;369.38;0;$
PRU100-1-A-2-4-B-D;323.4;0;$
PRU100-1-A-2-4-C-D-LT;369.38;0;$
PRU100-1-A-2-4-B-E;323.4;0;$
PRU100-1-A-2-4-C-E-LT;369.38;0;$
PRU100-1-A-2-5-B-A;323.4;0;$
PRU100-1-A-2-5-C-A-LT;369.38;0;$
PRU100-1-A-2-5-B-B;323.4;0;$
PRU100-1-A-2-5-C-B-LT;369.38;0;$
PRU100-1-A-2-5-B-C;323.4;0;$
PRU100-1-A-2-5-C-C-LT;369.38;0;$
PRU100-1-A-2-5-B-D;323.4;0;$
PRU100-1-A-2-5-C-D-LT;369.38;0;$
PRU100-1-A-2-5-B-E;323.4;0;$
PRU100-1-A-2-5-C-E-LT;369.38;0;$
PRU100-1-A-2-6-B-A;323.4;0;$
PRU100-1-A-2-6-C-A-LT;369.38;0;$
PRU100-1-A-2-6-B-B;323.4;0;$
PRU100-1-A-2-6-C-B-LT;369.38;0;$
PRU100-1-A-2-6-B-C;323.4;0;$
PRU100-1-A-2-6-C-C-LT;369.38;0;$
PRU100-1-A-2-6-B-D;323.4;0;$
PRU100-1-A-2-6-C-D-LT;369.38;0;$
PRU100-1-A-2-6-B-E;323.4;0;$
PRU100-1-A-2-6-C-E-LT;369.38;0;$
PRU100-1-B-1-1-A-A;323.61;0;$
PRU100-1-B-1-1-C-A-LT;339.02;0;$
PRU100-1-B-1-1-A-B;323.61;0;$
PRU100-1-B-1-1-C-B-LT;339.02;0;$
PRU100-1-B-1-1-A-C;323.61;0;$
PRU100-1-B-1-1-C-C-LT;339.02;0;$
PRU100-1-B-1-1-A-D;352.59;0;$
PRU100-1-B-1-1-C-D-LT;369.38;0;$
PRU100-1-B-1-1-A-E;352.59;0;$
PRU100-1-B-1-1-C-E-LT;369.38;0;$
PRU100-1-B-1-2-A-A;323.61;0;$
PRU100-1-B-1-2-C-A-LT;339.02;0;$
PRU100-1-B-1-2-A-B;323.61;0;$
PRU100-1-B-1-2-C-B-LT;339.02;0;$
PRU100-1-B-1-2-A-C;323.61;0;$
PRU100-1-B-1-2-C-C-LT;339.02;0;$
PRU100-1-B-1-2-A-D;352.59;0;$
PRU100-1-B-1-2-C-D-LT;369.38;0;$
PRU100-1-B-1-2-A-E;352.59;0;$
PRU100-1-B-1-2-C-E-LT;369.38;0;$
PRU100-1-B-1-3-A-A;323.4;0;$
PRU100-1-B-1-3-C-A-LT;369.38;0;$
PRU100-1-B-1-3-A-B;323.4;0;$
PRU100-1-B-1-3-C-B-LT;369.38;0;$
PRU100-1-B-1-3-A-C;323.4;0;$
PRU100-1-B-1-3-C-C-LT;369.38;0;$
PRU100-1-B-1-3-A-D;323.4;0;$
PRU100-1-B-1-3-C-D-LT;369.38;0;$
PRU100-1-B-1-3-A-E;323.4;0;$
PRU100-1-B-1-3-C-E-LT;369.38;0;$
PRU100-1-B-1-4-A-A;323.4;0;$
PRU100-1-B-1-4-C-A-LT;369.38;0;$
PRU100-1-B-1-4-A-B;323.4;0;$
PRU100-1-B-1-4-C-B-LT;369.38;0;$
PRU100-1-B-1-4-A-C;323.4;0;$
PRU100-1-B-1-4-C-C-LT;369.38;0;$
PRU100-1-B-1-4-A-D;323.4;0;$
PRU100-1-B-1-4-C-D-LT;369.38;0;$
PRU100-1-B-1-4-A-E;323.4;0;$
PRU100-1-B-1-4-C-E-LT;369.38;0;$
PRU100-1-B-1-5-A-A;323.4;0;$
PRU100-1-B-1-5-C-A-LT;369.38;0;$
PRU100-1-B-1-5-A-B;323.4;0;$
PRU100-1-B-1-5-C-B-LT;369.38;0;$
PRU100-1-B-1-5-A-C;323.4;0;$
PRU100-1-B-1-5-C-C-LT;369.38;0;$
PRU100-1-B-1-5-A-D;323.4;0;$
PRU100-1-B-1-5-C-D-LT;369.38;0;$
PRU100-1-B-1-5-A-E;323.4;0;$
PRU100-1-B-1-5-C-E-LT;369.38;0;$
PRU100-1-B-1-6-A-A;323.4;0;$
PRU100-1-B-1-6-C-A-LT;369.38;0;$
PRU100-1-B-1-6-A-B;323.4;0;$
PRU100-1-B-1-6-C-B-LT;369.38;0;$
PRU100-1-B-1-6-A-C;323.4;0;$
PRU100-1-B-1-6-C-C-LT;369.38;0;$
PRU100-1-B-1-6-A-D;323.4;0;$
PRU100-1-B-1-6-C-D-LT;369.38;0;$
PRU100-1-B-1-6-A-E;323.4;0;$
PRU100-1-B-1-6-C-E-LT;369.38;0;$
PRU100-1-B-2-1-B-A;323.61;0;$
PRU100-1-B-2-1-C-A-LT;339.02;0;$
PRU100-1-B-2-1-B-B;323.61;0;$
PRU100-1-B-2-1-C-B-LT;339.02;0;$
PRU100-1-B-2-1-B-C;323.61;0;$
PRU100-1-B-2-1-C-C-LT;339.02;0;$
PRU100-1-B-2-1-B-D;352.59;0;$
PRU100-1-B-2-1-C-D-LT;369.38;0;$
PRU100-1-B-2-1-B-E;352.59;0;$
PRU100-1-B-2-1-C-E-LT;369.38;0;$
PRU100-1-B-2-2-B-A;323.61;0;$
PRU100-1-B-2-2-C-A-LT;339.02;0;$
PRU100-1-B-2-2-B-B;323.61;0;$
PRU100-1-B-2-2-C-B-LT;339.02;0;$
PRU100-1-B-2-2-B-C;323.61;0;$
PRU100-1-B-2-2-C-C-LT;339.02;0;$
PRU100-1-B-2-2-B-D;352.59;0;$
PRU100-1-B-2-2-C-D-LT;369.38;0;$
PRU100-1-B-2-2-B-E;352.59;0;$
PRU100-1-B-2-2-C-E-LT;369.38;0;$
PRU100-1-B-2-3-B-A;323.4;0;$
PRU100-1-B-2-3-C-A-LT;369.38;0;$
PRU100-1-B-2-3-B-B;323.4;0;$
PRU100-1-B-2-3-C-B-LT;369.38;0;$
PRU100-1-B-2-3-B-C;323.4;0;$
PRU100-1-B-2-3-C-C-LT;369.38;0;$
PRU100-1-B-2-3-B-D;323.4;0;$
PRU100-1-B-2-3-C-D-LT;369.38;0;$
PRU100-1-B-2-3-B-E;323.4;0;$
PRU100-1-B-2-3-C-E-LT;369.38;0;$
PRU100-1-B-2-4-B-A;323.4;0;$
PRU100-1-B-2-4-C-A-LT;369.38;0;$
PRU100-1-B-2-4-B-B;323.4;0;$
PRU100-1-B-2-4-C-B-LT;369.38;0;$
PRU100-1-B-2-4-B-C;323.4;0;$
PRU100-1-B-2-4-C-C-LT;369.38;0;$
PRU100-1-B-2-4-B-D;323.4;0;$
PRU100-1-B-2-4-C-D-LT;369.38;0;$
PRU100-1-B-2-4-B-E;323.4;0;$
PRU100-1-B-2-4-C-E-LT;369.38;0;$
PRU100-1-B-2-5-B-A;323.4;0;$
PRU100-1-B-2-5-C-A-LT;369.38;0;$
PRU100-1-B-2-5-B-B;323.4;0;$
PRU100-1-B-2-5-C-B-LT;369.38;0;$
PRU100-1-B-2-5-B-C;323.4;0;$
PRU100-1-B-2-5-C-C-LT;369.38;0;$
PRU100-1-B-2-5-B-D;323.4;0;$
PRU100-1-B-2-5-C-D-LT;369.38;0;$
PRU100-1-B-2-5-B-E;323.4;0;$
PRU100-1-B-2-5-C-E-LT;369.38;0;$
PRU100-1-B-2-6-B-A;323.4;0;$
PRU100-1-B-2-6-C-A-LT;369.38;0;$
PRU100-1-B-2-6-B-B;323.4;0;$
PRU100-1-B-2-6-C-B-LT;369.38;0;$
PRU100-1-B-2-6-B-C;323.4;0;$
PRU100-1-B-2-6-C-C-LT;369.38;0;$
PRU100-1-B-2-6-B-D;323.4;0;$
PRU100-1-B-2-6-C-D-LT;369.38;0;$
PRU100-1-B-2-6-B-E;323.4;0;$
PRU100-1-B-2-6-C-E-LT;369.38;0;$
PRU100-1-C-1-1-A-A;323.61;0;$
PRU100-1-C-1-1-C-A-LT;339.02;0;$
PRU100-1-C-1-1-A-B;323.61;0;$
PRU100-1-C-1-1-C-B-LT;339.02;0;$
PRU100-1-C-1-1-A-C;323.61;0;$
PRU100-1-C-1-1-C-C-LT;339.02;0;$
PRU100-1-C-1-1-A-D;352.59;0;$
PRU100-1-C-1-1-C-D-LT;369.38;0;$
PRU100-1-C-1-1-A-E;352.59;0;$
PRU100-1-C-1-1-C-E-LT;369.38;0;$
PRU100-1-C-1-2-A-A;323.61;0;$
PRU100-1-C-1-2-C-A-LT;339.02;0;$
PRU100-1-C-1-2-A-B;323.61;0;$
PRU100-1-C-1-2-C-B-LT;339.02;0;$
PRU100-1-C-1-2-A-C;323.61;0;$
PRU100-1-C-1-2-C-C-LT;339.02;0;$
PRU100-1-C-1-2-A-D;352.59;0;$
PRU100-1-C-1-2-C-D-LT;369.38;0;$
PRU100-1-C-1-2-A-E;352.59;0;$
PRU100-1-C-1-2-C-E-LT;369.38;0;$
PRU100-1-C-1-3-A-A;323.4;0;$
PRU100-1-C-1-3-C-A-LT;369.38;0;$
PRU100-1-C-1-3-A-B;323.4;0;$
PRU100-1-C-1-3-C-B-LT;369.38;0;$
PRU100-1-C-1-3-A-C;323.4;0;$
PRU100-1-C-1-3-C-C-LT;369.38;0;$
PRU100-1-C-1-3-A-D;323.4;0;$
PRU100-1-C-1-3-C-D-LT;369.38;0;$
PRU100-1-C-1-3-A-E;323.4;0;$
PRU100-1-C-1-3-C-E-LT;369.38;0;$
PRU100-1-C-1-4-A-A;323.4;0;$
PRU100-1-C-1-4-C-A-LT;369.38;0;$
PRU100-1-C-1-4-A-B;323.4;0;$
PRU100-1-C-1-4-C-B-LT;369.38;0;$
PRU100-1-C-1-4-A-C;323.4;0;$
PRU100-1-C-1-4-C-C-LT;369.38;0;$
PRU100-1-C-1-4-A-D;323.4;0;$
PRU100-1-C-1-4-C-D-LT;369.38;0;$
PRU100-1-C-1-4-A-E;323.4;0;$
PRU100-1-C-1-4-C-E-LT;369.38;0;$
PRU100-1-C-1-5-A-A;323.4;0;$
PRU100-1-C-1-5-C-A-LT;369.38;0;$
PRU100-1-C-1-5-A-B;323.4;0;$
PRU100-1-C-1-5-C-B-LT;369.38;0;$
PRU100-1-C-1-5-A-C;323.4;0;$
PRU100-1-C-1-5-C-C-LT;369.38;0;$
PRU100-1-C-1-5-A-D;323.4;0;$
PRU100-1-C-1-5-C-D-LT;369.38;0;$
PRU100-1-C-1-5-A-E;323.4;0;$
PRU100-1-C-1-5-C-E-LT;369.38;0;$
PRU100-1-C-1-6-A-A;323.4;0;$
PRU100-1-C-1-6-C-A-LT;369.38;0;$
PRU100-1-C-1-6-A-B;323.4;0;$
PRU100-1-C-1-6-C-B-LT;369.38;0;$
PRU100-1-C-1-6-A-C;323.4;0;$
PRU100-1-C-1-6-C-C-LT;369.38;0;$
PRU100-1-C-1-6-A-D;323.4;0;$
PRU100-1-C-1-6-C-D-LT;369.38;0;$
PRU100-1-C-1-6-A-E;323.4;0;$
PRU100-1-C-1-6-C-E-LT;369.38;0;$
PRU100-1-C-2-1-B-A;323.61;0;$
PRU100-1-C-2-1-C-A-LT;339.02;0;$
PRU100-1-C-2-1-B-B;323.61;0;$
PRU100-1-C-2-1-C-B-LT;339.02;0;$
PRU100-1-C-2-1-B-C;323.61;0;$
PRU100-1-C-2-1-C-C-LT;339.02;0;$
PRU100-1-C-2-1-B-D;352.59;0;$
PRU100-1-C-2-1-C-D-LT;369.38;0;$
PRU100-1-C-2-1-B-E;352.59;0;$
PRU100-1-C-2-1-C-E-LT;369.38;0;$
PRU100-1-C-2-2-B-A;323.61;0;$
PRU100-1-C-2-2-C-A-LT;339.02;0;$
PRU100-1-C-2-2-B-B;323.61;0;$
PRU100-1-C-2-2-C-B-LT;339.02;0;$
PRU100-1-C-2-2-B-C;323.61;0;$
PRU100-1-C-2-2-C-C-LT;339.02;0;$
PRU100-1-C-2-2-B-D;352.59;0;$
PRU100-1-C-2-2-C-D-LT;369.38;0;$
PRU100-1-C-2-2-B-E;352.59;0;$
PRU100-1-C-2-2-C-E-LT;369.38;0;$
PRU100-1-C-2-3-B-A;323.4;0;$
PRU100-1-C-2-3-C-A-LT;369.38;0;$
PRU100-1-C-2-3-B-B;323.4;0;$
PRU100-1-C-2-3-C-B-LT;369.38;0;$
PRU100-1-C-2-3-B-C;323.4;0;$
PRU100-1-C-2-3-C-C-LT;369.38;0;$
PRU100-1-C-2-3-B-D;323.4;0;$
PRU100-1-C-2-3-C-D-LT;369.38;0;$
PRU100-1-C-2-3-B-E;323.4;0;$
PRU100-1-C-2-3-C-E-LT;369.38;0;$
PRU100-1-C-2-4-B-A;323.4;0;$
PRU100-1-C-2-4-C-A-LT;369.38;0;$
PRU100-1-C-2-4-B-B;323.4;0;$
