code;value;count;currency
PS2200X-04R-A-1-F-1-A;407.5;0;$
PS2200X-10R-A-1-F-1-A;407.5;0;$
PS2200X-20R-A-1-F-1-A;407.5;0;$
PS2200X-30R-A-1-F-1-A;407.5;0;$
PS2200X-04R-A-1-F-1-B;407.5;0;$
PS2200X-10R-A-1-F-1-B;407.5;0;$
PS2200X-20R-A-1-F-1-B;407.5;0;$
PS2200X-30R-A-1-F-1-B;407.5;0;$
PS2200X-04R-A-1-F-1-C;407.5;0;$
PS2200X-10R-A-1-F-1-C;407.5;0;$
PS2200X-20R-A-1-F-1-C;407.5;0;$
PS2200X-30R-A-1-F-1-C;407.5;0;$
PS2200X-04R-A-1-F-2-A;507.5;0;$
PS2200X-10R-A-1-F-2-A;507.5;0;$
PS2200X-20R-A-1-F-2-A;507.5;0;$
PS2200X-30R-A-1-F-2-A;507.5;0;$
PS2200X-04R-A-1-F-2-B;507.5;0;$
PS2200X-10R-A-1-F-2-B;507.5;0;$
PS2200X-20R-A-1-F-2-B;507.5;0;$
PS2200X-30R-A-1-F-2-B;507.5;0;$
PS2200X-04R-A-1-F-2-C;507.5;0;$
PS2200X-10R-A-1-F-2-C;507.5;0;$
PS2200X-20R-A-1-F-2-C;507.5;0;$
PS2200X-30R-A-1-F-2-C;507.5;0;$
PS2200X-04R-A-2-F-1-A;407.5;0;$
PS2200X-10R-A-2-F-1-A;407.5;0;$
PS2200X-20R-A-2-F-1-A;407.5;0;$
PS2200X-30R-A-2-F-1-A;407.5;0;$
PS2200X-04R-A-2-F-1-B;407.5;0;$
PS2200X-10R-A-2-F-1-B;407.5;0;$
PS2200X-20R-A-2-F-1-B;407.5;0;$
PS2200X-30R-A-2-F-1-B;407.5;0;$
PS2200X-04R-A-2-F-1-C;407.5;0;$
PS2200X-10R-A-2-F-1-C;407.5;0;$
PS2200X-20R-A-2-F-1-C;407.5;0;$
PS2200X-30R-A-2-F-1-C;407.5;0;$
PS2200X-04R-A-2-F-2-A;507.5;0;$
PS2200X-10R-A-2-F-2-A;507.5;0;$
PS2200X-20R-A-2-F-2-A;507.5;0;$
PS2200X-30R-A-2-F-2-A;507.5;0;$
PS2200X-04R-A-2-F-2-B;507.5;0;$
PS2200X-10R-A-2-F-2-B;507.5;0;$
PS2200X-20R-A-2-F-2-B;507.5;0;$
PS2200X-30R-A-2-F-2-B;507.5;0;$
PS2200X-04R-A-2-F-2-C;507.5;0;$
PS2200X-10R-A-2-F-2-C;507.5;0;$
PS2200X-20R-A-2-F-2-C;507.5;0;$
PS2200X-30R-A-2-F-2-C;507.5;0;$
PS2200X-04R-A-M-F-1-A;407.5;0;$
PS2200X-10R-A-M-F-1-A;407.5;0;$
PS2200X-20R-A-M-F-1-A;407.5;0;$
PS2200X-30R-A-M-F-1-A;407.5;0;$
PS2200X-04R-A-M-F-1-B;407.5;0;$
PS2200X-10R-A-M-F-1-B;407.5;0;$
PS2200X-20R-A-M-F-1-B;407.5;0;$
PS2200X-30R-A-M-F-1-B;407.5;0;$
PS2200X-04R-A-M-F-1-C;407.5;0;$
PS2200X-10R-A-M-F-1-C;407.5;0;$
PS2200X-20R-A-M-F-1-C;407.5;0;$
PS2200X-30R-A-M-F-1-C;407.5;0;$
PS2200X-04R-A-M-F-2-A;507.5;0;$
PS2200X-10R-A-M-F-2-A;507.5;0;$
PS2200X-20R-A-M-F-2-A;507.5;0;$
PS2200X-30R-A-M-F-2-A;507.5;0;$
PS2200X-04R-A-M-F-2-B;507.5;0;$
PS2200X-10R-A-M-F-2-B;507.5;0;$
PS2200X-20R-A-M-F-2-B;507.5;0;$
PS2200X-30R-A-M-F-2-B;507.5;0;$
PS2200X-04R-A-M-F-2-C;507.5;0;$
PS2200X-10R-A-M-F-2-C;507.5;0;$
PS2200X-20R-A-M-F-2-C;507.5;0;$
PS2200X-30R-A-M-F-2-C;507.5;0;$
