code;value;count;currency
QA331-040KP;159.7;0;$
QA331-050KP;159.7;0;$
QA331-065KP;182.9;0;$
QA331-080KP;191.8;0;$
QA331-100KP;248.5;0;$
QA331-125KP;268.8;0;$
QA331-150KP;327.1;0;$
QA331-200KP;452.2;0;$
QA331-250KP;596.5;0;$
QA331-300KP;866.2;0;$
QA331-350KP;1342.3;0;$
QA331-400KP;1898.2;0;$
QA331-450KP;2624.7;0;$
QA331-500KP;3659.4;0;$
QA331-040KPM;191.6;0;$
QA331-050KPM;191.6;0;$
QA331-065KPM;233.8;0;$
QA331-080KPM;242.6;0;$
QA331-100KPM;308.2;0;$
QA331-125KPM;443.5;0;$
QA331-150KPM;496.6;0;$
QA331-200KPM;784.4;0;$
QA331-250KPM;986.7;0;$
QA331-300KPM;1705.8;0;$
QA331-350KPM;2826.9;0;$
QA331-400KPM;3190;0;$
QA331-450KPM;6481.4;0;$
QA331-500KPM;7064.2;0;$
