code;value;count;currency
QA341-040KP;150.4;0;$
QA341-050KP;151.5;0;$
QA341-065KP;175.2;0;$
QA341-080KP;180.3;0;$
QA341-100KP;221.7;0;$
QA341-125KP;233.3;0;$
QA341-150KP;277.6;0;$
QA341-200KP;356;0;$
QA341-250KP;525.9;0;$
QA341-300KP;727.3;0;$
QA341-350KP;1183;0;$
QA341-400KP;1751.4;0;$
QA341-450KP;2221.7;0;$
QA341-500KP;3561.5;0;$
QA341-040KPM;182.3;0;$
QA341-050KPM;183.4;0;$
QA341-065KPM;226;0;$
QA341-080KPM;231.2;0;$
QA341-100KPM;281.5;0;$
QA341-125KPM;408;0;$
QA341-150KPM;447.1;0;$
QA341-200KPM;688.2;0;$
QA341-250KPM;916.1;0;$
QA341-300KPM;1567;0;$
QA341-350KPM;2667.5;0;$
QA341-400KPM;3043.1;0;$
QA341-450KPM;6078.5;0;$
QA341-500KPM;6966.3;0;$
