code;value;count;currency
RPB1CP-MU-G-HOS-4-FPA-0-14-A/C;218;0;$
RPB1CP-MU-G-HOS-4-FPA-0-25-A/C;218;0;$
RPB1CP-MU-G-HOS-4-FPA-0-40-A/C;218;0;$
RPB1DP-MU-F4N-HOS-1.5-FPA-0-14-A/C;218;0;$
RPB1DP-MU-F4N-HOS-1.5-FPA-0-25-A/C;218;0;$
RPB1DP-MU-F4N-HOS-1.5-FPA-0-40-A/C;218;0;$
RPB1DP-MU-F4N-HOS-4-FPA-0-14-A/C;218;0;$
RPB1DP-MU-F4N-HOS-4-FPA-0-25-A/C;218;0;$
RPB1DP-MU-F4N-HOS-4-FPA-0-40-A/C;218;0;$
RPB1CP-MW-G-HOS-4-FPA-0-14-A/C;218;0;$
RPB1CP-MW-G-HOS-4-FPA-0-25-A/C;218;0;$
RPB1CP-MW-G-HOS-4-FPA-0-40-A/C;218;0;$
RPB1DP-MW-F4N-HOS-1.5-FPA-0-14-A/C;218;0;$
RPB1DP-MW-F4N-HOS-1.5-FPA-0-25-A/C;218;0;$
RPB1DP-MW-F4N-HOS-1.5-FPA-0-40-A/C;218;0;$
RPB1DP-MW-F4N-HOS-4-FPA-0-14-A/C;218;0;$
RPB1DP-MW-F4N-HOS-4-FPA-0-25-A/C;218;0;$
RPB1DP-MW-F4N-HOS-4-FPA-0-40-A/C;218;0;$
