code;value;count;currency
SF100-A-1R-B-BT;162.5;0;$
SF100-B-1R-B-BT;162.5;0;$
SF100-C-1R-B-BT;162.5;0;$
SF100-E-1R-B-BT;162.5;0;$
SF100-F-1R-B-BT;162.5;0;$
SF100-D-1R-B-BT;162.5;0;$
SF100-G-1R-B-BT;162.5;0;$
SF100-A-1R-B-LR;162.5;0;$
SF100-B-1R-B-LR;162.5;0;$
SF100-C-1R-B-LR;162.5;0;$
SF100-E-1R-B-LR;162.5;0;$
SF100-F-1R-B-LR;162.5;0;$
SF100-D-1R-B-LR;162.5;0;$
SF100-G-1R-B-LR;162.5;0;$
SF100-A-1R-B-RL;162.5;0;$
SF100-B-1R-B-RL;162.5;0;$
SF100-C-1R-B-RL;162.5;0;$
SF100-E-1R-B-RL;162.5;0;$
SF100-F-1R-B-RL;162.5;0;$
SF100-D-1R-B-RL;162.5;0;$
SF100-G-1R-B-RL;162.5;0;$
SF100-A-1R-B-TB;162.5;0;$
SF100-B-1R-B-TB;162.5;0;$
SF100-C-1R-B-TB;162.5;0;$
SF100-E-1R-B-TB;162.5;0;$
SF100-F-1R-B-TB;162.5;0;$
SF100-D-1R-B-TB;162.5;0;$
SF100-G-1R-B-TB;162.5;0;$
