code;value;count;currency
SF350-G-A-0-PC-1-A-BT;150;0;$
SF350-G-B-0-PC-1-A-BT;150;0;$
SF350-G-C-0-PC-1-A-BT;150;0;$
SF350-G-A-0-PC-1-B-BT;150;0;$
SF350-G-B-0-PC-1-B-BT;150;0;$
SF350-G-C-0-PC-1-B-BT;150;0;$
SF350-G-D-0-PC-1-C-BT;175;0;$
SF350-G-E-0-PC-1-C-BT;175;0;$
SF350-G-D-0-PC-1-D-BT;175;0;$
SF350-G-E-0-PC-1-D-BT;175;0;$
SF350-G-A-1R-PC-1-A-BT;205;0;$
SF350-G-B-1R-PC-1-A-BT;205;0;$
SF350-G-C-1R-PC-1-A-BT;205;0;$
SF350-G-A-1R-PC-1-B-BT;205;0;$
SF350-G-B-1R-PC-1-B-BT;205;0;$
SF350-G-C-1R-PC-1-B-BT;205;0;$
SF350-G-D-1R-PC-1-C-BT;230;0;$
SF350-G-E-1R-PC-1-C-BT;230;0;$
SF350-G-D-1R-PC-1-D-BT;230;0;$
SF350-G-E-1R-PC-1-D-BT;230;0;$
SF350-G-A-0-PC-1-A-TB;150;0;$
SF350-G-B-0-PC-1-A-TB;150;0;$
SF350-G-C-0-PC-1-A-TB;150;0;$
SF350-G-A-0-PC-1-B-TB;150;0;$
SF350-G-B-0-PC-1-B-TB;150;0;$
SF350-G-C-0-PC-1-B-TB;150;0;$
SF350-G-D-0-PC-1-C-TB;175;0;$
SF350-G-E-0-PC-1-C-TB;175;0;$
SF350-G-D-0-PC-1-D-TB;175;0;$
SF350-G-E-0-PC-1-D-TB;175;0;$
SF350-G-A-1R-PC-1-A-TB;205;0;$
SF350-G-B-1R-PC-1-A-TB;205;0;$
SF350-G-C-1R-PC-1-A-TB;205;0;$
SF350-G-A-1R-PC-1-B-TB;205;0;$
SF350-G-B-1R-PC-1-B-TB;205;0;$
SF350-G-C-1R-PC-1-B-TB;205;0;$
SF350-G-D-1R-PC-1-C-TB;230;0;$
SF350-G-E-1R-PC-1-C-TB;230;0;$
SF350-G-D-1R-PC-1-D-TB;230;0;$
SF350-G-E-1R-PC-1-D-TB;230;0;$
SF350-G-A-0-PC-1-A-RL;150;0;$
SF350-G-B-0-PC-1-A-RL;150;0;$
SF350-G-C-0-PC-1-A-RL;150;0;$
SF350-G-A-0-PC-1-B-RL;150;0;$
SF350-G-B-0-PC-1-B-RL;150;0;$
SF350-G-C-0-PC-1-B-RL;150;0;$
SF350-G-D-0-PC-1-C-RL;175;0;$
SF350-G-E-0-PC-1-C-RL;175;0;$
SF350-G-D-0-PC-1-D-RL;175;0;$
SF350-G-E-0-PC-1-D-RL;175;0;$
SF350-G-A-1R-PC-1-A-RL;205;0;$
SF350-G-B-1R-PC-1-A-RL;205;0;$
SF350-G-C-1R-PC-1-A-RL;205;0;$
SF350-G-A-1R-PC-1-B-RL;205;0;$
SF350-G-B-1R-PC-1-B-RL;205;0;$
SF350-G-C-1R-PC-1-B-RL;205;0;$
SF350-G-D-1R-PC-1-C-RL;230;0;$
SF350-G-E-1R-PC-1-C-RL;230;0;$
SF350-G-D-1R-PC-1-D-RL;230;0;$
SF350-G-E-1R-PC-1-D-RL;230;0;$
SF350-G-A-0-PC-1-A-LR;150;0;$
SF350-G-B-0-PC-1-A-LR;150;0;$
SF350-G-C-0-PC-1-A-LR;150;0;$
SF350-G-A-0-PC-1-B-LR;150;0;$
SF350-G-B-0-PC-1-B-LR;150;0;$
SF350-G-C-0-PC-1-B-LR;150;0;$
SF350-G-D-0-PC-1-C-LR;175;0;$
SF350-G-E-0-PC-1-C-LR;175;0;$
SF350-G-D-0-PC-1-D-LR;175;0;$
SF350-G-E-0-PC-1-D-LR;175;0;$
SF350-G-A-1R-PC-1-A-LR;205;0;$
SF350-G-B-1R-PC-1-A-LR;205;0;$
SF350-G-C-1R-PC-1-A-LR;205;0;$
SF350-G-A-1R-PC-1-B-LR;205;0;$
SF350-G-B-1R-PC-1-B-LR;205;0;$
SF350-G-C-1R-PC-1-B-LR;205;0;$
SF350-G-D-1R-PC-1-C-LR;230;0;$
SF350-G-E-1R-PC-1-C-LR;230;0;$
SF350-G-D-1R-PC-1-D-LR;230;0;$
SF350-G-E-1R-PC-1-D-LR;230;0;$
