code;value;count;currency
SLLE-106;2.66;0;$
SLLE-106.4;2.66;0;$
SLLE-108;2.66;0;$
SLLE-109.5;2.66;0;$
SLLE-110;2.66;0;$
SLLE-112;2.66;0;$
SLLE-212.7;3.16;0;$
SLLE-213.5;3.16;0;$
SLLE-214;3.16;0;$
SLLE-215;3.16;0;$
SLLE-216;3.16;0;$
SLLE-217.2;3.16;0;$
SLLE-218;3.16;0;$
SLLE-319;3.4;0;$
SLLE-320;3.4;0;$
SLLE-321.3;3.4;0;$
SLLE-322;3.4;0;$
SLLE-325;3.4;0;$
SLLE-426.9;3.7;0;$
SLLE-428;3.7;0;$
SLLE-430;3.7;0;$
SLLE-532;5.19;0;$
SLLE-533.7;5.19;0;$
SLLE-535;5.19;0;$
SLLE-538;5.19;0;$
SLLE-540;5.19;0;$
SLLE-542;5.19;0;$
SLLE-644.5;7.25;0;$
SLLE-648.3;7.25;0;$
SLLE-650.8;7.25;0;$
SLLE-757.2;25.34;0;$
SLLE-760.3;25.34;0;$
SLLE-763.5;25.34;0;$
SLLE-770;25.34;0;$
SLLE-773;25.34;0;$
SLLE-776.1;25.34;0;$
SLLE-888.9;32.62;0;$
SLLE-8102;32.62;0;$
SLLE-106S;6.39;0;$
SLLE-106.4S;6.39;0;$
SLLE-108S;6.39;0;$
SLLE-109.5S;6.39;0;$
SLLE-110S;6.39;0;$
SLLE-112S;6.39;0;$
SLLE-212.7S;6.8;0;$
SLLE-213.5S;6.8;0;$
SLLE-214S;6.8;0;$
SLLE-215S;6.8;0;$
SLLE-216S;6.8;0;$
SLLE-217.2S;6.8;0;$
SLLE-218S;6.8;0;$
SLLE-319S;7.5;0;$
SLLE-320S;7.5;0;$
SLLE-321.3S;7.5;0;$
SLLE-322S;7.5;0;$
SLLE-325S;7.5;0;$
SLLE-426.9S;8.77;0;$
SLLE-428S;8.77;0;$
SLLE-430S;8.77;0;$
SLLE-532S;10.79;0;$
SLLE-533.7S;10.79;0;$
SLLE-535S;10.79;0;$
SLLE-538S;10.79;0;$
SLLE-540S;10.79;0;$
SLLE-542S;10.79;0;$
SLLE-644.5S;28.44;0;$
SLLE-648.3S;28.44;0;$
SLLE-650.8S;28.44;0;$
SLLE-757.2S;35.49;0;$
SLLE-760.3S;35.49;0;$
SLLE-763.5S;35.49;0;$
SLLE-770S;35.49;0;$
SLLE-773S;35.49;0;$
SLLE-776.1S;35.49;0;$
SLLE-888.9S;44.69;0;$
SLLE-8102S;44.69;0;$
