code;value;count;currency
SLLH-106;3.52;0;$
SLLH-106.4;3.52;0;$
SLLH-108;3.52;0;$
SLLH-109.5;3.52;0;$
SLLH-110;3.52;0;$
SLLH-112;3.52;0;$
SLLH-212.7;4.3;0;$
SLLH-213.5;4.3;0;$
SLLH-214;4.3;0;$
SLLH-215;4.3;0;$
SLLH-216;4.3;0;$
SLLH-217.2;4.3;0;$
SLLH-218;4.3;0;$
SLLH-319;5.31;0;$
SLLH-320;5.31;0;$
SLLH-321.3;5.31;0;$
SLLH-322;5.31;0;$
SLLH-325;5.31;0;$
SLLH-426.9;6.78;0;$
SLLH-428;6.78;0;$
SLLH-430;6.78;0;$
SLLH-532;9.66;0;$
SLLH-533.7;9.66;0;$
SLLH-535;9.66;0;$
SLLH-538;9.66;0;$
SLLH-540;9.66;0;$
SLLH-542;9.66;0;$
SLLH-644.5;11.37;0;$
SLLH-648.3;11.37;0;$
SLLH-650.8;11.37;0;$
SLLH-757.2;25.64;0;$
SLLH-760.3;25.64;0;$
SLLH-763.5;25.64;0;$
SLLH-770;25.64;0;$
SLLH-773;25.64;0;$
SLLH-776.1;25.64;0;$
SLLH-888.9;33.4;0;$
SLLH-8102;33.4;0;$
SLLH-106S;5.85;0;$
SLLH-106.4S;5.85;0;$
SLLH-108S;5.85;0;$
SLLH-109.5S;5.85;0;$
SLLH-110S;5.85;0;$
SLLH-112S;5.85;0;$
SLLH-212.7S;6.93;0;$
SLLH-213.5S;6.93;0;$
SLLH-214S;6.93;0;$
SLLH-215S;6.93;0;$
SLLH-216S;6.93;0;$
SLLH-217.2S;6.93;0;$
SLLH-218S;6.93;0;$
SLLH-319S;8.26;0;$
SLLH-320S;8.26;0;$
SLLH-321.3S;8.26;0;$
SLLH-322S;8.26;0;$
SLLH-325S;8.26;0;$
SLLH-426.9S;10.15;0;$
SLLH-428S;10.15;0;$
SLLH-430S;10.15;0;$
SLLH-532S;13.93;0;$
SLLH-533.7S;13.93;0;$
SLLH-535S;13.93;0;$
SLLH-538S;13.93;0;$
SLLH-540S;13.93;0;$
SLLH-542S;13.93;0;$
SLLH-644.5S;16.42;0;$
SLLH-648.3S;16.42;0;$
SLLH-650.8S;16.42;0;$
SLLH-757.2S;35.12;0;$
SLLH-760.3S;35.12;0;$
SLLH-763.5S;35.12;0;$
SLLH-770S;35.12;0;$
SLLH-773S;35.12;0;$
SLLH-776.1S;35.12;0;$
SLLH-888.9S;44.46;0;$
SLLH-8102S;44.46;0;$
