code;value;count;currency
SLNA-106;1.71;0;$
SLNA-106.4;1.71;0;$
SLNA-108;1.71;0;$
SLNA-109.5;1.71;0;$
SLNA-110;1.71;0;$
SLNA-112;1.71;0;$
SLNA-212.7;1.88;0;$
SLNA-213.5;1.88;0;$
SLNA-214;1.88;0;$
SLNA-215;1.88;0;$
SLNA-216;1.88;0;$
SLNA-217.2;1.88;0;$
SLNA-218;1.88;0;$
SLNA-319;2.06;0;$
SLNA-320;2.06;0;$
SLNA-321.3;2.06;0;$
SLNA-322;2.06;0;$
SLNA-325;2.06;0;$
SLNA-426.9;2.45;0;$
SLNA-428;2.45;0;$
SLNA-430;2.45;0;$
SLNA-532;3.26;158;$
SLNA-533.7;3.26;0;$
SLNA-535;3.26;0;$
SLNA-538;3.26;0;$
SLNA-540;3.26;0;$
SLNA-542;3.26;5;$
SLNA-644.5;5.18;24;$
SLNA-648.3;5.18;0;$
SLNA-650.8;5.18;0;$
SLNA-757.2;7.74;0;$
SLNA-760.3;7.74;0;$
SLNA-763.5;7.74;0;$
SLNA-770;7.74;0;$
SLNA-773;7.74;0;$
SLNA-776.1;7.74;0;$
SLNA-888.9;12.28;0;$
SLNA-8102;12.28;0;$
SLNA-106S;5.32;0;$
SLNA-106.4S;5.32;0;$
SLNA-108S;5.32;0;$
SLNA-109.5S;5.32;0;$
SLNA-110S;5.32;0;$
SLNA-112S;5.32;0;$
SLNA-212.7S;5.63;0;$
SLNA-213.5S;5.63;0;$
SLNA-214S;5.63;0;$
SLNA-215S;5.63;0;$
SLNA-216S;5.63;0;$
SLNA-217.2S;5.63;0;$
SLNA-218S;5.63;0;$
SLNA-319S;6;0;$
SLNA-320S;6;0;$
SLNA-321.3S;6;0;$
SLNA-322S;6;0;$
SLNA-325S;6;0;$
SLNA-426.9S;6.81;0;$
SLNA-428S;6.81;0;$
SLNA-430S;6.81;0;$
SLNA-532S;8.06;0;$
SLNA-533.7S;8.06;0;$
SLNA-535S;8.06;0;$
SLNA-538S;8.06;0;$
SLNA-540S;8.06;0;$
SLNA-542S;8.06;0;$
SLNA-644.5S;10.19;0;$
SLNA-648.3S;10.19;0;$
SLNA-650.8S;10.19;0;$
SLNA-757.2S;16.37;0;$
SLNA-760.3S;16.37;0;$
SLNA-763.5S;16.37;0;$
SLNA-770S;16.37;0;$
SLNA-773S;16.37;0;$
SLNA-776.1S;16.37;0;$
SLNA-888.9S;21.37;0;$
SLNA-8102S;21.37;0;$
