code;value;count;currency
SLPK-106;1.89;0;$
SLPK-106.4;1.89;0;$
SLPK-108;1.89;0;$
SLPK-109.5;1.89;0;$
SLPK-110;1.89;0;$
SLPK-112;1.89;0;$
SLPK-212.7;2;0;$
SLPK-213.5;2;0;$
SLPK-214;2;0;$
SLPK-215;2;0;$
SLPK-216;2;0;$
SLPK-217.2;2;0;$
SLPK-218;2;0;$
SLPK-319;2.14;0;$
SLPK-320;2.14;0;$
SLPK-321.3;2.14;0;$
SLPK-322;2.14;0;$
SLPK-325;2.14;2;$
SLPK-426.9;2.38;0;$
SLPK-428;2.38;8;$
SLPK-430;2.38;0;$
SLPK-532;2.98;0;$
SLPK-533.7;2.98;0;$
SLPK-535;2.98;0;$
SLPK-538;2.98;0;$
SLPK-540;2.98;0;$
SLPK-542;2.98;0;$
SLPK-644.5;3.05;0;$
SLPK-648.3;3.05;0;$
SLPK-650.8;3.05;0;$
SLPK-757.2;5.32;0;$
SLPK-760.3;5.32;0;$
SLPK-763.5;5.32;0;$
SLPK-770;5.32;0;$
SLPK-773;5.32;0;$
SLPK-776.1;5.32;0;$
SLPK-888.9;6.34;0;$
SLPK-8102;6.34;0;$
SLPK-106S;4.34;0;$
SLPK-106.4S;4.34;0;$
SLPK-108S;4.34;0;$
SLPK-109.5S;4.34;0;$
SLPK-110S;4.34;0;$
SLPK-112S;4.34;0;$
SLPK-212.7S;4.52;0;$
SLPK-213.5S;4.52;0;$
SLPK-214S;4.52;0;$
SLPK-215S;4.52;0;$
SLPK-216S;4.52;0;$
SLPK-217.2S;4.52;0;$
SLPK-218S;4.52;0;$
SLPK-319S;4.69;0;$
SLPK-320S;4.69;0;$
SLPK-321.3S;4.69;0;$
SLPK-322S;4.69;0;$
SLPK-325S;4.69;0;$
SLPK-426.9S;5.01;0;$
SLPK-428S;5.01;0;$
SLPK-430S;5.01;0;$
SLPK-532S;5.78;0;$
SLPK-533.7S;5.78;0;$
SLPK-535S;5.78;0;$
SLPK-538S;5.78;0;$
SLPK-540S;5.78;0;$
SLPK-542S;5.78;0;$
SLPK-644.5S;5.95;0;$
SLPK-648.3S;5.95;0;$
SLPK-650.8S;5.95;0;$
SLPK-757.2S;8.26;0;$
SLPK-760.3S;8.26;0;$
SLPK-763.5S;8.26;0;$
SLPK-770S;8.26;0;$
SLPK-773S;8.26;0;$
SLPK-776.1S;8.26;0;$
SLPK-888.9S;9.56;0;$
SLPK-8102S;9.56;0;$
