code;value;count;currency
STLR-106;3.1;0;$
STLR-106.4;3.1;0;$
STLR-108;3.1;0;$
STLR-109.5;3.1;0;$
STLR-110;3.1;0;$
STLR-112;3.1;0;$
STLR-212.7;3.6;0;$
STLR-213.5;3.6;0;$
STLR-214;3.6;0;$
STLR-215;3.6;0;$
STLR-216;3.6;0;$
STLR-217.2;3.6;0;$
STLR-218;3.6;0;$
STLR-319;4.6;0;$
STLR-320;4.6;0;$
STLR-321.3;4.6;0;$
STLR-322;4.6;0;$
STLR-325;4.6;0;$
STLR-426.9;6;0;$
STLR-428;6;0;$
STLR-430;6;0;$
STLR-532;7.7;0;$
STLR-533.7;7.7;0;$
STLR-535;7.7;0;$
STLR-538;7.7;0;$
STLR-540;7.7;0;$
STLR-542;7.7;0;$
STLR-106S;4.3;0;$
STLR-106.4S;4.3;0;$
STLR-108S;4.3;0;$
STLR-109.5S;4.3;0;$
STLR-110S;4.3;0;$
STLR-112S;4.3;0;$
STLR-212.7S;4.7;0;$
STLR-213.5S;4.7;0;$
STLR-214S;4.7;0;$
STLR-215S;4.7;0;$
STLR-216S;4.7;0;$
STLR-217.2S;4.7;0;$
STLR-218S;4.7;0;$
STLR-319S;5.7;0;$
STLR-320S;5.7;0;$
STLR-321.3S;5.7;0;$
STLR-322S;5.7;0;$
STLR-325S;5.7;0;$
STLR-426.9S;7.2;0;$
STLR-428S;7.2;0;$
STLR-430S;7.2;0;$
STLR-532S;9.2;0;$
STLR-533.7S;9.2;0;$
STLR-535S;9.2;0;$
STLR-538S;9.2;0;$
STLR-540S;9.2;0;$
STLR-542S;9.2;0;$
