code;value;count;currency
STNA-106;1.8;0;$
STNA-106.4;1.8;0;$
STNA-108;1.8;0;$
STNA-109.5;1.8;0;$
STNA-110;1.8;0;$
STNA-112;1.8;0;$
STNA-212.7;2.8;0;$
STNA-213.5;2.8;0;$
STNA-214;2.8;0;$
STNA-215;2.8;0;$
STNA-216;2.8;0;$
STNA-217.2;2.8;0;$
STNA-218;2.8;0;$
STNA-319;4;0;$
STNA-320;4;0;$
STNA-321.3;4;0;$
STNA-322;4;0;$
STNA-325;4;0;$
STNA-426.9;4.9;0;$
STNA-428;4.9;0;$
STNA-430;4.9;0;$
STNA-532;7;0;$
STNA-533.7;7;0;$
STNA-535;7;0;$
STNA-538;7;0;$
STNA-540;7;0;$
STNA-542;7;0;$
STNA-106S;3.7;0;$
STNA-106.4S;3.7;0;$
STNA-108S;3.7;0;$
STNA-109.5S;3.7;0;$
STNA-110S;3.7;0;$
STNA-112S;3.7;0;$
STNA-212.7S;6;0;$
STNA-213.5S;6;0;$
STNA-214S;6;0;$
STNA-215S;6;0;$
STNA-216S;6;0;$
STNA-217.2S;6;0;$
STNA-218S;6;0;$
STNA-319S;7.9;0;$
STNA-320S;7.9;0;$
STNA-321.3S;7.9;0;$
STNA-322S;7.9;0;$
STNA-325S;7.9;0;$
STNA-426.9S;9.6;0;$
STNA-428S;9.6;0;$
STNA-430S;9.6;0;$
STNA-532S;13.2;0;$
STNA-533.7S;13.2;0;$
STNA-535S;13.2;0;$
STNA-538S;13.2;0;$
STNA-540S;13.2;0;$
STNA-542S;13.2;0;$
