code;value;count;currency
STPJ-106;1.5;0;$
STPJ-106.4;1.5;0;$
STPJ-108;1.5;0;$
STPJ-109.5;1.5;0;$
STPJ-110;1.5;0;$
STPJ-112;1.5;0;$
STPJ-212.7;1.9;0;$
STPJ-213.5;1.9;0;$
STPJ-214;1.9;0;$
STPJ-215;1.9;0;$
STPJ-216;1.9;0;$
STPJ-217.2;1.9;0;$
STPJ-218;1.9;0;$
STPJ-319;2.4;0;$
STPJ-320;2.4;0;$
STPJ-321.3;2.4;0;$
STPJ-322;2.4;0;$
STPJ-325;2.4;0;$
STPJ-426.9;2.6;0;$
STPJ-428;2.6;0;$
STPJ-430;2.6;0;$
STPJ-532;3.6;0;$
STPJ-533.7;3.6;0;$
STPJ-535;3.6;0;$
STPJ-538;3.6;0;$
STPJ-540;3.6;0;$
STPJ-542;3.6;0;$
STPJ-106S;3.7;15;$
STPJ-106.4S;3.7;0;$
STPJ-108S;3.7;0;$
STPJ-109.5S;3.7;0;$
STPJ-110S;3.7;0;$
STPJ-112S;3.7;0;$
STPJ-212.7S;4.1;0;$
STPJ-213.5S;4.1;0;$
STPJ-214S;4.1;0;$
STPJ-215S;4.1;0;$
STPJ-216S;4.1;0;$
STPJ-217.2S;4.1;0;$
STPJ-218S;4.1;0;$
STPJ-319S;4.9;0;$
STPJ-320S;4.9;0;$
STPJ-321.3S;4.9;0;$
STPJ-322S;4.9;0;$
STPJ-325S;4.9;0;$
STPJ-426.9S;5.4;0;$
STPJ-428S;5.4;0;$
STPJ-430S;5.4;0;$
STPJ-532S;6.9;0;$
STPJ-533.7S;6.9;0;$
STPJ-535S;6.9;0;$
STPJ-538S;6.9;0;$
STPJ-540S;6.9;0;$
STPJ-542S;6.9;0;$
