code;value;count;currency
SW2N-106;1.6;0;$
SW2N-106.4;1.6;0;$
SW2N-108;1.6;0;$
SW2N-208;2;0;$
SW2N-209.5;2;0;$
SW2N-210;2;0;$
SW2N-212;2;0;$
SW2N-212.7;2;0;$
SW2N-310;2.8;0;$
SW2N-312;2.8;0;$
SW2N-312.7;2.8;0;$
SW2N-313.5;2.8;0;$
SW2N-314;2.8;0;$
SW2N-315;2.8;0;$
SW2N-316;2.8;0;$
SW2N-414;3.8;0;$
SW2N-415;3.8;0;$
SW2N-416;3.8;0;$
SW2N-417.2;3.8;0;$
SW2N-418;3.8;0;$
SW2N-419;3.8;0;$
SW2N-420;3.8;0;$
SW2N-421.3;3.8;0;$
SW2N-422;3.8;0;$
SW2N-106S;2.4;0;$
SW2N-106.4S;2.4;0;$
SW2N-108S;2.4;0;$
SW2N-208S;2.8;0;$
SW2N-209.5S;2.8;0;$
SW2N-210S;2.8;0;$
SW2N-212S;2.8;0;$
SW2N-212.7S;2.8;0;$
SW2N-310S;4;0;$
SW2N-312S;4;0;$
SW2N-312.7S;4;0;$
SW2N-313.5S;4;0;$
SW2N-314S;4;0;$
SW2N-315S;4;0;$
SW2N-316S;4;0;$
SW2N-414S;5;0;$
SW2N-415S;5;0;$
SW2N-416S;5;0;$
SW2N-417.2S;5;0;$
SW2N-418S;5;0;$
SW2N-419S;5;0;$
SW2N-420S;5;0;$
SW2N-421.3S;5;0;$
SW2N-422S;5;0;$
