code;value;count;currency
SW2P-106;0.8;30;$
SW2P-106.4;0.8;0;$
SW2P-108;0.8;0;$
SW2P-208;1;0;$
SW2P-209.5;1;50;$
SW2P-210;1;0;$
SW2P-212;1;0;$
SW2P-212.7;1;0;$
SW2P-310;1.4;0;$
SW2P-312;1.4;0;$
SW2P-312.7;1.4;0;$
SW2P-313.5;1.4;0;$
SW2P-314;1.4;0;$
SW2P-315;1.4;0;$
SW2P-316;1.4;0;$
SW2P-414;1.9;0;$
SW2P-415;1.9;0;$
SW2P-416;1.9;0;$
SW2P-417.2;1.9;0;$
SW2P-418;1.9;0;$
SW2P-419;1.9;0;$
SW2P-420;1.9;0;$
SW2P-421.3;1.9;0;$
SW2P-422;1.9;0;$
SW2P-106S;1.2;0;$
SW2P-106.4S;1.2;0;$
SW2P-108S;1.2;0;$
SW2P-208S;1.4;0;$
SW2P-209.5S;1.4;0;$
SW2P-210S;1.4;0;$
SW2P-212S;1.4;0;$
SW2P-212.7S;1.4;0;$
SW2P-310S;2;0;$
SW2P-312S;2;0;$
SW2P-312.7S;2;0;$
SW2P-313.5S;2;0;$
SW2P-314S;2;0;$
SW2P-315S;2;0;$
SW2P-316S;2;0;$
SW2P-414S;2.5;0;$
SW2P-415S;2.5;0;$
SW2P-416S;2.5;0;$
SW2P-417.2S;2.5;0;$
SW2P-418S;2.5;0;$
SW2P-419S;2.5;0;$
SW2P-420S;2.5;0;$
SW2P-421.3S;2.5;0;$
SW2P-422S;2.5;0;$
