code;value;count;currency
TLFC-00-A-1-0-1-A-1-1;1250;0;$
TLFC-00-A-1-0-1-A-1-2;1250;0;$
TLFC-00-A-1-0-1-B-1-1;1250;0;$
TLFC-00-A-1-0-1-B-1-2;1250;0;$
TLFC-00-A-1-0-2-A-1-1;1250;0;$
TLFC-00-A-1-0-2-A-1-2;1250;0;$
TLFC-00-A-1-0-2-B-1-1;1250;0;$
TLFC-00-A-1-0-2-B-1-2;1250;0;$
TLFC-00-T-1-0-1-A-1-1;1050;0;$
TLFC-00-T-1-0-1-A-1-2;1050;0;$
TLFC-00-T-1-0-1-B-1-1;1050;0;$
TLFC-00-T-1-0-1-B-1-2;1050;0;$
TLFC-00-T-1-0-2-A-1-1;1050;0;$
TLFC-00-T-1-0-2-A-1-2;1050;0;$
TLFC-00-T-1-0-2-B-1-1;1050;0;$
TLFC-00-T-1-0-2-B-1-2;1050;0;$
TLFC-01-A-1-0-1-A-1-1;1250;0;$
TLFC-01-A-1-0-1-A-1-2;1250;0;$
TLFC-01-A-1-0-1-B-1-1;1250;0;$
TLFC-01-A-1-0-1-B-1-2;1250;0;$
TLFC-01-A-1-0-2-A-1-1;1250;0;$
TLFC-01-A-1-0-2-A-1-2;1250;0;$
TLFC-01-A-1-0-2-B-1-1;1250;0;$
TLFC-01-A-1-0-2-B-1-2;1250;0;$
TLFC-01-T-1-0-1-A-1-1;1050;0;$
TLFC-01-T-1-0-1-A-1-2;1050;0;$
TLFC-01-T-1-0-1-B-1-1;1050;0;$
TLFC-01-T-1-0-1-B-1-2;1050;0;$
TLFC-01-T-1-0-2-A-1-1;1050;0;$
TLFC-01-T-1-0-2-A-1-2;1050;0;$
TLFC-01-T-1-0-2-B-1-1;1050;0;$
TLFC-01-T-1-0-2-B-1-2;1050;0;$
TLFC-02-A-1-0-1-A-1-1;1250;0;$
TLFC-02-A-1-0-1-A-1-2;1250;0;$
TLFC-02-A-1-0-1-B-1-1;1250;0;$
TLFC-02-A-1-0-1-B-1-2;1250;0;$
TLFC-02-A-1-0-2-A-1-1;1250;0;$
TLFC-02-A-1-0-2-A-1-2;1250;0;$
TLFC-02-A-1-0-2-B-1-1;1250;0;$
TLFC-02-A-1-0-2-B-1-2;1250;0;$
TLFC-02-T-1-0-1-A-1-1;1050;0;$
TLFC-02-T-1-0-1-A-1-2;1050;0;$
TLFC-02-T-1-0-1-B-1-1;1050;0;$
TLFC-02-T-1-0-1-B-1-2;1050;0;$
TLFC-02-T-1-0-2-A-1-1;1050;0;$
TLFC-02-T-1-0-2-A-1-2;1050;0;$
TLFC-02-T-1-0-2-B-1-1;1050;0;$
TLFC-02-T-1-0-2-B-1-2;1050;0;$
