code;value;count;currency
VBZY-8-FN-AEB-220AC;333.7;0;$
VBZY-10-FN-AEB-220AC;338.4;0;$
VBZY-15-FN-AEB-220AC;333.7;0;$
VBZY-20-FN-AEB-220AC;354.2;0;$
VBZY-25-FN-AEB-220AC;396.7;0;$
VBZY-32-FN-AEB-220AC;436.6;0;$
VBZY-40-FN-AEB-220AC;564.4;0;$
VBZY-50-FN-AEB-220AC;646.2;0;$
VBZY-65-FN-AEB-220AC;1362;0;$
VBZY-80-FN-AEB-220AC;1642.9;0;$
VBZY-100-FN-AEB-220AC;2160.7;0;$
VBZY-8-FG-AEB-220AC;333.7;0;$
VBZY-10-FG-AEB-220AC;338.4;0;$
VBZY-15-FG-AEB-220AC;333.7;0;$
VBZY-20-FG-AEB-220AC;354.2;0;$
VBZY-25-FG-AEB-220AC;396.7;0;$
VBZY-32-FG-AEB-220AC;436.6;0;$
VBZY-40-FG-AEB-220AC;564.4;0;$
VBZY-50-FG-AEB-220AC;646.2;0;$
VBZY-65-FG-AEB-220AC;1362;0;$
VBZY-80-FG-AEB-220AC;1642.9;0;$
VBZY-100-FG-AEB-220AC;2160.7;0;$
VBZY-8-WS-AEB-220AC;333.7;0;$
VBZY-10-WS-AEB-220AC;338.4;0;$
VBZY-15-WS-AEB-220AC;333.7;0;$
VBZY-20-WS-AEB-220AC;354.2;0;$
VBZY-25-WS-AEB-220AC;396.7;0;$
VBZY-32-WS-AEB-220AC;436.6;0;$
VBZY-40-WS-AEB-220AC;564.4;0;$
VBZY-50-WS-AEB-220AC;646.2;0;$
VBZY-65-WS-AEB-220AC;1362;0;$
VBZY-80-WS-AEB-220AC;1642.9;0;$
VBZY-100-WS-AEB-220AC;2160.7;0;$
VBZY-8-WP-AEB-220AC;338.4;0;$
VBZY-10-WP-AEB-220AC;338.4;0;$
VBZY-15-WP-AEB-220AC;338.4;0;$
VBZY-20-WP-AEB-220AC;360;0;$
VBZY-25-WP-AEB-220AC;405.2;0;$
VBZY-32-WP-AEB-220AC;447.3;0;$
VBZY-50-WP-AEB-220AC;665.7;0;$
VBZY-80-WP-AEB-220AC;1642.9;0;$
VBZY-100-WP-AEB-220AC;2160.7;0;$
VBZU-8-FN-AEB-220AC;229.69;0;$
VBZU-10-FN-AEB-220AC;229.69;0;$
VBZU-15-FN-AEB-220AC;233.78;0;$
VBZU-20-FN-AEB-220AC;259.52;0;$
VBZU-20-FG-AEB-220AC;259.52;0;$
VBZU-25-FG-AEB-220AC;281.02;0;$
VBZU-32-FG-AEB-220AC;302.03;0;$
VBZU-40-FG-AEB-220AC;408.88;0;$
VBZU-50-FG-AEB-220AC;497.24;0;$
