code;value;count;currency
VF300-A1(1)-0-PC-1-B-BT;112.5;0;$
VF300-A1(2)-0-PC-1-B-BT;112.5;0;$
VF300-A1(3)-0-PC-1-B-BT;112.5;0;$
VF300-A1(4)-0-PC-1-B-BT;112.5;0;$
VF300-A1(5)-0-PC-1-B-BT;112.5;0;$
VF300-A1(6)-0-PC-1-B-BT;112.5;0;$
VF300-A2(7)-0-PC-1-B-BT;112.5;0;$
VF300-A2(8)-0-PC-1-B-BT;112.5;0;$
VF300-A2(9)-0-PC-1-B-BT;112.5;0;$
VF300-A2(10)-0-PC-1-B-BT;112.5;0;$
VF300-A2(11)-0-PC-1-B-BT;112.5;0;$
VF300-A1(1)-1R-PC-1-B-BT;152.5;0;$
VF300-A1(2)-1R-PC-1-B-BT;152.5;0;$
VF300-A1(3)-1R-PC-1-B-BT;152.5;0;$
VF300-A1(4)-1R-PC-1-B-BT;152.5;0;$
VF300-A1(5)-1R-PC-1-B-BT;152.5;0;$
VF300-A1(6)-1R-PC-1-B-BT;152.5;0;$
VF300-A2(7)-1R-PC-1-B-BT;152.5;0;$
VF300-A2(8)-1R-PC-1-B-BT;152.5;0;$
VF300-A2(9)-1R-PC-1-B-BT;152.5;0;$
VF300-A2(10)-1R-PC-1-B-BT;152.5;0;$
VF300-A2(11)-1R-PC-1-B-BT;152.5;0;$
