code;value;count;currency
36573451;0;0;€
12719049;0;0;€
12719405;0;0;€
12719243;0;0;€
12719251;0;0;€
12719391;0;0;€
12719260;0;0;€
12719286;0;0;€
12719308;0;0;€
12719316;0;0;€
12719324;0;0;€
12719383;0;0;€
12719375;0;0;€
12719332;0;0;€
12719341;0;0;€
12719367;0;0;€
45702091;0;0;€
14116248;0;0;€
12852822;0;0;€
12963446;0;0;€
12909913;0;0;€
12725421;0;0;€
13212532;0;0;€
12725057;0;0;€
12784720;0;0;€
12873315;0;0;€
12910903;0;0;€
12725448;0;0;€
12850838;0;0;€
12887430;0;0;€
12725111;0;0;€
12725102;0;0;€
12850781;0;0;€
14059245;0;0;€
