code;value;count;currency
CUA-1;1;11;$
CUA-1-BRAS;2;12;$
CUA-1-STEL;3;13;$
CUA-2;4;14;$
CUA-2-BRAS;5;15;$
CUA-2-STEL;6;16;$
CUA-3;7;17;$
CUA-3-BRAS;8;18;$
CUA-3-STEL;9;19;$
CUA-4;10;20;$
CUA-4-BRAS;11;21;$
CUA-4-STEL;12;22;$
CUA-5;13;23;$
CUA-5-BRAS;14;24;$
CUA-5-STEL;15;25;$
CUA-6;16;26;$
CUA-6-BRAS;17;27;$
CUA-6-STEL;18;28;$
CUA-8;19;29;$
CUA-8-BRAS;20;30;$
CUA-8-STEL;21;31;$
CUA-10;22;32;$
CUA-10-BRAS;23;33;$
CUA-10-STEL;24;34;$
CUA-12;25;35;$
CUA-12-BRAS;26;36;$
CUA-12-STEL;27;37;$
CUA-14;28;38;$
CUA-14-BRAS;29;39;$
CUA-14-STEL;30;40;$
CUA-16;31;41;$
CUA-16-BRAS;32;42;$
CUA-16-STEL;33;43;$
CUA-20;34;44;$
CUA-20-BRAS;35;45;$
CUA-20-STEL;36;46;$
CUA-24;37;47;$
CUA-24-BRAS;38;48;$
CUA-24-STEL;39;49;$
CUA-32;40;50;$
CUA-32-BRAS;41;51;$
CUA-32-STEL;42;52;$
