#;Заказной код;Размер;Параметр:Размер:D;Условное обозначение:Размер:D;Параметр:Размер:d Min.;Условное обозначение:Размер:d Min.;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CUA;1;Hy-Lok 1/16;Подсоединение;1.27;test;-;S316;Нержавеющая сталь
;;2;Hy-Lok 1/8;Подсоединение;2.28;test;BRAS;BRAS;Латунь
;;3;Hy-Lok 3/16;Подсоединение;3.04;test;STEL;STEL;Углеродистая сталь
;;4;Hy-Lok 1/4;Подсоединение;4.82;test;;;
;;5;Hy-Lok 5/16;Подсоединение;6.35;test;;;
;;6;Hy-Lok 3/8;Подсоединение;7.11;test;;;
;;8;Hy-Lok 1/2;Подсоединение;10.41;test;;;
;;10;Hy-Lok 5/8;Подсоединение;12.70;test;;;
;;12;Hy-Lok 3/4;Подсоединение;15.74;test;;;
;;14;Hy-Lok 7/8;Подсоединение;18.28;test;;;
;;16;Hy-Lok 1;Подсоединение;22.35;test;;;
;;20;Hy-Lok 1 1/4;Подсоединение;27.68;test;;;
;;24;Hy-Lok 1 1/2;Подсоединение;34.03;test;;;
;;32;Hy-Lok 2;Подсоединение;45.97;test;;;
